Date,q1_forecast,q2_forecast,forecast
2014-07-06,10818254.017687773,12489839.51008904,11654046.763888407
2014-07-13,10666181.831981909,12544153.29178156,11605167.561881734
2014-07-20,10504124.735141104,12406110.957031256,11455117.84608618
2014-07-27,10701476.544167325,12609818.004468374,11655647.27431785
2014-08-03,10570452.792572215,12493411.840038648,11531932.316305432
2014-08-10,10764628.60258775,12697085.796371141,11730857.199479446
2014-08-17,9776138.102257477,11728851.097025033,10752494.599641254
2014-08-24,10719616.550405512,12673720.401818069,11696668.47611179
2014-08-31,10654716.46584295,12644412.363684304,11649564.414763628
2014-09-07,10686116.356646253,12708449.49107144,11697282.923858846
2014-09-14,10829443.306540746,12877932.550844,11853687.928692374
2014-09-21,10981486.883715775,13051001.631430801,12016244.257573288
2014-09-28,11106213.185798056,13192668.91516583,12149441.050481943
2014-10-05,11317137.891988661,13417268.66800179,12367203.279995225
2014-10-12,11487152.751561906,13598338.276516512,12542745.51403921
2014-10-19,11607403.400106505,13727535.750263434,12667469.57518497
2014-10-26,11677363.114283431,13804742.957873557,12741053.036078494
2014-11-02,10943385.520410668,13076640.609260883,12010013.064835776
2014-11-09,11788391.286510233,13926412.008072244,12857401.647291237
2014-11-16,11910309.795657307,14052197.938856697,12981253.867257003
2014-11-23,12196538.139488503,14341565.988310877,13269052.06389969
2014-11-30,12355087.494812738,14502665.053681474,13428876.274247106
2014-12-07,12588159.308062803,14737807.96854192,13662983.638302362
2014-12-14,12781732.19969304,14933063.534467325,13857397.867080182
2014-12-21,12551532.97175128,14704231.626171935,13627882.298961608
2014-12-28,10126124.683284987,12279934.55218409,11203029.617734538
2015-01-04,10945131.866540933,13099844.911994368,12022488.38926765
2015-01-11,12038789.638612064,14194236.835252602,13116513.236932334
2015-01-18,12550186.060690507,14706230.057968382,13628208.059329445
2015-01-25,12961320.739351904,15117849.911350785,14039585.325351344
2015-02-01,12995654.360404136,15152577.978308287,14074116.16935621
2015-02-08,12532212.304106832,14689456.617842274,13610834.460974554
2015-02-15,12311207.121612823,14468712.178341372,13389959.649977097
