Date,q1_forecast,q2_forecast,forecast
2016-12-25,1375946.2238405605,1701855.2446223823,1538900.7342314715
2016-12-26,1734728.951496092,2133231.2857708866,1933980.1186334894
2016-12-27,1790595.868822182,2217962.8758654846,2004279.3723438333
2016-12-28,1779197.639854236,2222674.727037255,2000936.1834457456
2016-12-29,1800482.0330261346,2261842.1013032463,2031162.0671646907
2016-12-30,1808706.9474026028,2281845.4438585653,2045276.195630584
2016-12-31,1541775.0728510774,2017187.2657151716,1779481.1692831244
