Date,q1_forecast,q2_forecast,forecast
2016-05-06,1610711.9894629996,1933101.8757414797,1771906.9326022398
2016-05-07,1364526.8131904544,1757695.1536681945,1561110.9834293243
2016-05-08,1195414.4149559392,1620820.4045163204,1408117.40973613
2016-05-09,1484495.1885627569,1925749.439920003,1705122.31424138
2016-05-10,1433968.7209083387,1892145.1104341594,1663056.915671249
2016-05-11,1600217.701953271,2070405.0173267783,1835311.3596400246
2016-05-12,1559308.0219071272,2031769.7982918066,1795538.910099467
2016-05-13,1479900.2433888067,1986654.9468949651,1733277.5951418858
2016-05-14,1275240.3235033771,1790289.1047952487,1532764.714149313
2016-05-15,1136044.581502688,1655739.8699571404,1395892.2257299141
2016-05-16,1410607.2387731494,1936399.3512774936,1673503.2950253214
2016-05-17,1332379.4658192305,1869929.6437838674,1601154.554801549
2016-05-18,1533078.068542592,2079459.327873043,1806268.6982078175
2016-05-19,1500335.586688543,2047864.9251404277,1774100.2559144853
2016-05-20,1421327.240246043,2010125.41110012,1715726.3256730817
2016-05-21,1226713.7430373542,1826963.4618907578,1526838.602464056
2016-05-22,1105389.473467908,1712727.9066852063,1409058.6900765572
2016-05-23,1400588.792706471,2016457.165546987,1708522.9791267288
2016-05-24,1327324.758361279,1957711.1008741125,1642517.9296176957
2016-05-25,1497827.7485953434,2138416.799189023,1818122.2738921833
2016-05-26,1447892.4523986832,2089639.206817464,1768765.8296080737
2016-05-27,1372642.6933263063,2042600.9134058815,1707621.803366094
2016-05-28,1186128.5640653777,1862883.9162238399,1524506.240144609
2016-05-29,1070760.784192918,1752318.2982069685,1411539.5411999433
2016-05-30,1362870.2484649704,2051720.1275878525,1707295.1880264115
2016-05-31,1283049.220777912,1985029.998874981,1634039.6098264465
2016-06-01,1456363.2517953985,2167307.766288323,1811835.5090418607
2016-06-02,1407483.5907798398,2119288.2922494835,1763385.9415146618
2016-06-03,1335524.3109030367,2073573.8880970536,1704549.0995000452
2016-06-04,1152865.454712489,1897484.9231427389,1525175.188927614
