Date,q1_forecast,q2_forecast,forecast
2016-01-02,1272972.9892641194,1591262.8911680954,1432117.9402161073
2016-01-03,1178726.7325900057,1568345.588905504,1373536.1607477549
2016-01-04,1427575.775986275,1849169.0601196014,1638372.4180529383
2016-01-05,1449354.8280350398,1886214.8199045996,1667784.8239698196
2016-01-06,1523630.718124943,1976921.0760263528,1750275.897075648
2016-01-07,1409068.663668772,1872829.7267733323,1640949.1952210523
2016-01-08,1268147.7793100018,1733758.278907033,1500953.0291085173
2016-01-09,1218820.6346841434,1717007.2954514346,1467913.965067789
2016-01-10,1145904.295373815,1652675.34476658,1399289.8200701978
2016-01-11,1366810.3422409042,1878211.3076411178,1622510.824941011
2016-01-12,1393040.5774756786,1910516.0004648669,1651778.2889702728
2016-01-13,1484128.9030483006,2013008.1358449222,1748568.5194466114
2016-01-14,1411393.756508104,1948470.014184481,1679931.8853462925
2016-01-15,1267882.5782026178,1805938.8426026576,1536910.7104026377
2016-01-16,1202665.7437924666,1781075.8570608296,1491870.800426648
2016-01-17,1093011.1097903885,1683048.902954578,1388030.0063724832
2016-01-18,1298776.4395849053,1895775.104420606,1597275.7720027557
2016-01-19,1322218.1082110896,1927384.5617027546,1624801.334956922
2016-01-20,1430062.124306289,2049439.459351679,1739750.7918289842
2016-01-21,1367241.7643974475,1996113.6016604886,1681677.683028968
2016-01-22,1234813.8939481275,1864740.847077055,1549777.3705125912
2016-01-23,1169317.2826938499,1826690.978420091,1498004.1305569706
2016-01-24,1055782.8392600995,1720075.429304606,1387929.1342823526
2016-01-25,1255191.1402358795,1924052.2955387682,1589621.7178873238
2016-01-26,1282599.0009157085,1958447.494428311,1620523.2476720097
2016-01-27,1397022.2130485706,2085736.393556531,1741379.3033025507
2016-01-28,1342933.5383625268,2040213.565045075,1691573.551703801
2016-01-29,1208793.84345613,1906881.4612532754,1557837.6523547026
2016-01-30,1139781.0230599283,1863554.5677636564,1501667.7954117924
2016-01-31,1018846.1285503327,1749201.3483575294,1384023.7384539312
2016-02-01,1216397.6143002613,1951326.082580237,1583861.848440249
2016-02-02,1245175.222514993,1987016.4553746474,1616095.8389448202
2016-02-03,1364560.8428448825,2118927.7773307897,1741744.310087836
2016-02-04,1312758.520797356,2075257.7123093107,1694008.1165533334
2016-02-05,1179543.9902224983,1942773.5275865593,1561158.7589045288
2016-02-06,1109502.269603414,1895221.3697664898,1502361.819684952
2016-02-07,987296.4490869074,1778691.107480459,1382993.7782836831
2016-02-08,1184101.4365722258,1979567.2192533358,1581834.3279127807
2016-02-09,1214698.6756100222,2016615.4938244377,1615657.08471723
2016-02-10,1336176.3677504547,2149773.878671247,1742975.1232108509
2016-02-11,1286126.0051745153,2107265.2717727767,1696695.6384736458
2016-02-12,1152065.8923335015,1973846.2749197225,1562956.0836266119
2016-02-13,1081495.4781748226,1924216.5469538174,1502856.0125643201
2016-02-14,957956.2121759588,1805992.107757657,1381974.1599668078
2016-02-15,1154867.0067495648,2006782.7349697107,1580824.8708596376
2016-02-16,1186288.9771408523,2044338.2821530974,1615313.6296469748
2016-02-17,1309217.4110537448,2178323.7782444023,1743770.5946490737
2016-02-18,1259649.6114141392,2135841.348429258,1697745.4799216986
2016-02-19,1125457.9192447476,2002241.2370691614,1563849.5781569544
2016-02-20,1054846.3805278954,1951111.1683515636,1502978.7744397295
2016-02-21,931153.1849185238,1832371.4410478307,1381762.3129831771
2016-02-22,1128164.3835125356,2033027.673507962,1580596.0285102488
2016-02-23,1160278.0268157315,2070946.715859063,1615612.371337397
2016-02-24,1283892.6395057524,2205003.09686332,1744447.8681845362
2016-02-25,1234718.712076289,2162509.7352503384,1698614.2236633138
2016-02-26,1100219.2488158362,2028559.5773768309,1564389.4130963336
2016-02-27,1029815.0787681008,1976565.208859536,1503190.1438138185
2016-02-28,905987.6010952697,1857431.8636241457,1381709.7323597078
2016-02-29,1103204.1359455506,2058119.8720648014,1580662.004005176
2016-03-01,1135671.988266305,2096111.412350823,1615891.7003085641
2016-03-02,1259783.9551299126,2230149.4291094537,1744966.6921196831
2016-03-03,1210763.6488460514,2187469.281036261,1699116.4649411563
2016-03-04,1076173.0757210357,2053397.5352087659,1564785.305464901
2016-03-05,1006044.227473214,2000745.2724376316,1503394.7499554227
2016-03-06,882293.7215596659,1881460.1983811813,1381876.9599704237
2016-03-07,1079639.3795325495,2082114.4414706132,1580876.9105015814
2016-03-08,1112380.1532709193,2120125.7510938137,1616252.9521823665
2016-03-09,1236789.6603437357,2254001.1826849272,1745395.4215143314
2016-03-10,1187921.0155677646,2211178.895968395,1699549.9557680795
2016-03-11,1053241.993683653,2076992.8837502412,1565117.438716947
2016-03-12,983434.6875921573,2023878.3618167536,1503656.5247044554
2016-03-13,859746.7411907837,1904461.7749790058,1382104.2580848946
