Date,q1_forecast,q2_forecast,forecast
2016-02-06,1648982.6617528412,1973412.7241658804,1811197.6929593608
2016-02-07,1425252.5298300774,1820902.7633877026,1623077.64660889
2016-02-08,1763144.3281232254,2186850.6217624205,1974997.474942823
2016-02-09,1763003.7314531466,2201509.302899583,1982256.5171763648
2016-02-10,1759258.4814983502,2215088.1239043386,1987173.3027013442
2016-02-11,1751721.5398055527,2218830.3056737212,1985275.922739637
2016-02-12,1754260.2895500388,2223451.1700299704,1988855.7297900047
2016-02-13,1536488.9388080775,2040181.2257621288,1788335.0822851032
2016-02-14,1350726.8415428807,1863318.078786304,1607022.4601645924
2016-02-15,1706874.3916290917,2223454.878370326,1965164.6349997087
2016-02-16,1713484.4541367607,2236241.9748687353,1974863.214502748
2016-02-17,1713862.6217883797,2248732.738949928,1981297.6803691539
2016-02-18,1712256.5724151277,2255738.6389665864,1983997.6056908572
2016-02-19,1719366.39668084,2263856.716242248,1991611.556461544
2016-02-20,1501282.1317216968,2087192.3875598914,1794237.2596407942
2016-02-21,1313573.078172519,1911246.0550964973,1612409.5666345083
2016-02-22,1668793.0457840692,2272517.312678746,1970655.1792314076
2016-02-23,1674318.1085344316,2286333.0423878185,1980325.575461125
2016-02-24,1671795.8444449368,2298715.0121227615,1985255.4282838493
2016-02-25,1666114.3149682842,2302815.8198914244,1984465.0674298543
2016-02-26,1670617.8389328457,2308356.335428286,1989487.0871805658
2016-02-27,1458107.538648922,2124232.5770594236,1791170.0578541728
2016-02-28,1274058.3996369455,1947359.2843965504,1610708.842016748
2016-02-29,1631268.829813118,2308649.8834091104,1969959.3566111142
2016-03-01,1637543.357763408,2322138.4305626024,1979840.894163005
2016-03-02,1635631.9740475633,2333697.700458305,1984664.837252934
2016-03-03,1630936.0782873698,2337701.594724056,1984318.836505713
2016-03-04,1636139.6978077767,2343667.787416147,1989903.742611962
2016-03-05,1425260.8961433172,2159178.883075208,1792219.8896092626
2016-03-06,1241482.2354697096,1982240.2814103656,1611861.2584400377
2016-03-07,1598743.7133882022,2343615.4763033204,1971179.5948457613
2016-03-08,1604942.0555276468,2356950.383166837,1980946.2193472418
2016-03-09,1602911.7704661211,2367939.850355033,1985425.8104105769
2016-03-10,1597913.827687514,2371128.721425198,1984521.274556356
2016-03-11,1602851.8254988743,2376741.100597847,1989796.4630483605
2016-03-12,1393545.6122635815,2190614.831123601,1792080.2216935914
2016-03-13,1210476.9853295395,2013505.338481238,1611991.1619053888
2016-03-14,1568076.5125953269,2374810.419543012,1971443.4660691696
2016-03-15,1574478.6169650264,2387881.566788961,1981180.0918769937
