Date,q1_forecast,q2_forecast,forecast
2016-04-06,1661562.0822862901,1984039.6861731345,1822800.8842297122
2016-04-07,1574968.2074985183,1967524.512272142,1771246.35988533
2016-04-08,1571783.2429023013,1996259.8103984254,1784021.5266503633
2016-04-09,1370060.7015778148,1809921.268159182,1589990.9848684985
2016-04-10,1181327.079612743,1638444.4220352415,1409885.7508239923
2016-04-11,1396601.708366388,1865752.1320719866,1631176.9202191872
2016-04-12,1577125.683752942,2048569.0907674294,1812847.3872601856
2016-04-13,1583530.909646867,2088593.9143151504,1836062.4119810087
2016-04-14,1530017.6325308823,2043071.8110335546,1786544.7217822184
2016-04-15,1538531.9725891536,2056047.1421964918,1797289.5573928228
2016-04-16,1355016.6518431026,1878544.306120936,1616780.4789820192
2016-04-17,1186357.8906226004,1721841.964719045,1454099.927670823
2016-04-18,1431478.6934050503,1975850.1867616912,1703664.4400833708
2016-04-19,1547362.2370967516,2092855.2093802104,1820108.723238481
2016-04-20,1531526.570396233,2117973.592276914,1824750.0813365735
2016-04-21,1470238.17203096,2067872.5466699717,1769055.3593504657
2016-04-22,1483008.5429126224,2087638.789330381,1785323.6661215017
2016-04-23,1302392.7493944103,1915436.6267279095,1608914.68806116
2016-04-24,1131916.65382584,1759751.2703834749,1445833.9621046572
2016-04-25,1364638.585935838,2002677.8636486386,1683658.2247922383
2016-04-26,1499244.2678988376,2138420.6424217797,1818832.4551603086
2016-04-27,1491333.5810749284,2158341.440902886,1824837.5109889072
2016-04-28,1433571.7226038878,2107195.74844196,1770383.735522924
2016-04-29,1448713.0175131734,2127052.9520857604,1787882.9847994668
2016-04-30,1271667.2301102083,1957222.0931484213,1614444.6616293148
2016-05-01,1104138.4936763013,1803015.0904671461,1453576.7920717238
2016-05-02,1340531.3651912876,2048361.540583967,1694446.4528876273
2016-05-03,1464973.5405967738,2173639.051073346,1819306.2958350598
2016-05-04,1455212.4920696297,2189866.350850614,1822539.4214601219
2016-05-05,1397237.501578169,2138316.0817017597,1767776.7916399643
2016-05-06,1413909.2503384158,2159782.2710631806,1786845.7607007981
2016-05-07,1237757.8676511536,1990830.0661274134,1614293.9668892834
2016-05-08,1070143.3902164246,1836081.6437378055,1453112.516977115
2016-05-09,1304549.0175288315,2078921.5556917316,1691735.2866102816
2016-05-10,1431374.7129082207,2206483.181192524,1818928.9470503721
2016-05-11,1423448.9899447816,2221355.545191268,1822402.2675680248
2016-05-12,1366443.3784244272,2169919.849010119,1768181.6137172733
2016-05-13,1383855.20469725,2191650.41234244,1787752.808519845
2016-05-14,1208453.9553285504,2022951.7067614552,1615702.831045003
2016-05-15,1041413.6412714352,1867857.8078704716,1454635.7245709533
2016-05-16,1276340.0571176377,2110528.71527857,1693434.386198104
2016-05-17,1401605.3010134683,2236434.6296521653,1819019.9653328168
2016-05-18,1394145.0536574002,2250219.9146271623,1822182.4841422813
2016-05-19,1337435.9282226912,2198770.8539134404,1768103.3910680658
2016-05-20,1355304.912801752,2220770.031455738,1788037.472128745
2016-05-21,1180183.4453150972,2052022.0386677287,1616102.741991413
2016-05-22,1013323.4499602029,1896423.6342297362,1454873.5420949697
2016-05-23,1248051.1011727154,2138405.5847421107,1693228.342957413
2016-05-24,1373647.7904446125,2264590.3865269246,1819119.0884857688
2016-05-25,1367010.0244865534,2277746.840750904,1822378.4326187288
2016-05-26,1310645.6840723704,2226297.5517138024,1768471.6178930863
2016-05-27,1328753.688721106,2248295.549924689,1788524.6193228974
2016-05-28,1153857.7103889412,2079418.9058936778,1616638.3081413093
2016-05-29,987272.2568599677,1923447.261539659,1455359.7591998135
2016-05-30,1222192.9978865255,2165188.8776595974,1693690.9377730615
2016-05-31,1347579.035497089,2291121.4698523246,1819350.2526747067
2016-06-01,1341476.0301997704,2303734.8229659866,1822605.4265828785
2016-06-02,1285297.2592853683,2252225.2280839253,1768761.243684647
2016-06-03,1303563.508612494,2274196.478296085,1788879.9934542894
2016-06-04,1128811.770859409,2105167.125088754,1616989.4479740816
2016-06-05,962440.8024497796,1948869.8469528088,1455655.3247012943
2016-06-06,1197455.5285432125,2190353.16941489,1693904.3489790512
2016-06-07,1322907.6071042302,2316321.558475693,1819614.5827899617
2016-06-08,1317310.022070828,2328501.3028808637,1822905.6624758458
2016-06-09,1261286.629165635,2276922.212849937,1769104.421007786
2016-06-10,1279657.8364912202,2298824.945148268,1789241.3908197442
2016-06-11,1105034.0014931003,2129655.2985847984,1617344.6500389494
2016-06-12,938877.4993129381,1973098.778194143,1455988.1387535406
2016-06-13,1174035.293793126,2214421.4528131206,1694228.3733031233
2016-06-14,1299473.0997311852,2340350.5077084946,1819911.8037198398
2016-06-15,1294283.7019481813,2352143.699093768,1823213.7005209746
2016-06-16,1238371.6901394697,2300484.8318847185,1769428.261012094
2016-06-17,1256825.6203489993,2322320.0874592336,1789572.8539041164
2016-06-18,1082310.5266800695,2153025.2915109177,1617667.9090954936
2016-06-19,916344.9191689275,1996248.8906270722,1456296.904898
2016-06-20,1151620.8567420533,2237428.031972047,1694524.4443570501
2016-06-21,1277080.8561310256,2363358.3044179506,1820219.580274488
2016-06-22,1272251.867218917,2374812.1071951613,1823531.987207039
2016-06-23,1216433.6582417642,2323076.200060986,1769754.9291513748
2016-06-24,1234955.577175955,2344844.6317195715,1789900.1044477634
2016-06-25,1060539.5875700647,2175441.1191760553,1617990.35337306
2016-06-26,894749.5576863061,2018477.557043295,1456613.5573648005
2016-06-27,1130139.9170541987,2259540.671535912,1694840.2942950553
2016-06-28,1255607.7833905031,2385460.48395842,1820534.1336744614
2016-06-29,1251091.754705575,2396609.1828122325,1823850.4687589037
2016-06-30,1195352.0649273212,2344800.1849976946,1770076.1249625077
2016-07-01,1213933.6375292125,2366508.296756724,1790220.9671429684
2016-07-02,1039606.9773439257,2197009.2930934997,1618308.135218713
2016-07-03,873975.1642035055,2039881.6355836734,1456928.3998935893
2016-07-04,1109466.6814747932,2280841.17163255,1695153.9265536717
2016-07-05,1234945.695922331,2406755.9157029428,1820850.8058126369
2016-07-06,1230708.7663357235,2417630.426085473,1824169.596210598
2016-07-07,1175038.3909787103,2365754.353700337,1770396.3723395236
2016-07-08,1193673.1699947729,2387407.698807421,1790540.4344010972
2016-07-09,1019427.942529089,2217824.186463817,1618626.0644964532
2016-07-10,853939.7301619307,2060550.8431392564,1457245.2866505934
2016-07-11,1089523.5381606058,2301418.7914392753,1695471.1647999408
2016-07-12,1215010.3147329283,2427326.7324215476,1821168.523577238
2016-07-13,1211023.4998979715,2437952.926756598,1824488.213327285
2016-07-14,1155414.9138211873,2386015.475945312,1770715.1948832497
2016-07-15,1174097.9496007897,2407619.5372923175,1790858.7434465536
2016-07-16,999926.8700111185,2237960.292195005,1618943.5811030618
2016-07-17,834568.974330117,2080555.7995996461,1457562.3869648816
2016-07-18,1070236.078695873,2321340.6802124865,1695788.3794541797
2016-07-19,1195730.188072389,2447242.7696136604,1821486.4788430245
2016-07-20,1191969.9797120052,2457643.242813671,1824806.6112628381
2016-07-21,1136417.4073035524,2405649.801442897,1771033.6043732248
2016-07-22,1155144.4530695884,2427209.1620321237,1791176.807550856
2016-07-23,981041.1697786059,2257481.4243108113,1619261.2970447086
2016-07-24,815802.1436092253,2099957.8677092968,1457880.0056592608
2016-07-25,1051545.2304787776,2340667.1863281447,1696106.2084034611
2016-07-26,1177045.5465221973,2466563.462031927,1821804.5042770621
2016-07-27,1173491.872397236,2476757.6735281195,1825124.7729626778
2016-07-28,1117990.4135746122,2424712.985209325,1771351.6993919685
2016-07-29,1136757.8228670405,2446231.6186487135,1791494.720757877
2016-07-30,962716.6970797401,2276441.4203828014,1619579.058731271
2016-07-31,797586.5292807964,2118808.9810101464,1458197.7551454713
2016-08-01,1033399.1208965915,2359448.9900046894,1696424.0554506404
