Date,q1_forecast,q2_forecast,forecast
2014-07-06,10826064.157694789,12449564.05173449,11637814.10471464
2014-07-13,10696530.949188363,12513094.60828287,11604812.778735617
2014-07-20,10544028.981665684,12384726.29090182,11464377.636283752
2014-07-27,10718038.453568263,12565792.781334754,11641915.617451508
2014-08-03,10613542.850066036,12474821.316526782,11544182.083296409
2014-08-10,10811149.008823896,12685328.956552938,11748238.982688416
2014-08-17,9812534.207485033,11706038.809203088,10759286.508344062
2014-08-24,10727682.112218183,12622892.157160535,11675287.134689359
2014-08-31,10683614.895688742,12606811.726878058,11645213.3112834
2014-09-07,10720105.775256775,12674815.330126205,11697460.55269149
2014-09-14,10864217.777027002,12843899.201711074,11854058.489369037
2014-09-21,11026393.124394849,13025925.2864082,12026159.205401525
2014-09-28,11151413.39207999,13166763.366067851,12159088.37907392
2014-10-05,11363585.482455,13391563.195098061,12377574.33877653
2014-10-12,11528019.891949218,13566093.317777356,12547056.604863288
2014-10-19,11657537.980491612,13703692.0365286,12680615.008510105
2014-10-26,11710566.644047135,13763194.297416532,12736880.470731834
2014-11-02,10976435.684448471,13034253.213161198,12005344.448804835
2014-11-09,11824817.331888588,13886797.944521775,12855807.638205182
2014-11-16,11936563.194150642,14001884.758137176,12969223.976143908
2014-11-23,12240025.953448571,14308029.661805734,13274027.807627153
2014-11-30,12408051.907163525,14478209.486259615,13443130.69671157
2014-12-07,12621770.082519302,14693657.707139611,13657713.894829456
2014-12-14,12807291.067717064,14880568.567664769,13843929.817690916
2014-12-21,12579262.8579192,14653657.114697132,13616459.986308165
2014-12-28,10161029.369491002,12236321.040772889,11198675.205131944
2015-01-04,10976174.673172647,13052187.566562667,12014181.119867658
2015-01-11,12050240.84707719,14126833.407062322,13088537.127069756
2015-01-18,12572479.66556091,14649538.148655325,13611008.907108117
2015-01-25,13001073.453501279,15078506.453738846,14039789.953620063
2015-02-01,13076261.330080314,15153995.385704027,14115128.35789217
2015-02-08,12518130.673224144,14596106.739766419,13557118.706495281
2015-02-15,12351300.59548933,14429471.21356356,13390385.904526444
2015-02-22,12086271.884185104,14164598.904618386,13125435.394401744
2015-03-01,11918876.805413345,13997329.56170083,12958103.183557088
2015-03-08,11903419.75354144,13981973.593441622,12942696.67349153
2015-03-15,11785155.755578715,13863790.86113024,12824473.308354476
2015-03-22,11651937.104920272,13730637.544136818,12691287.324528545
2015-03-29,11441114.670161841,13519867.634857824,12480491.152509833
2015-04-05,11206142.81617695,13284938.009352287,12245540.412764618
2015-04-12,11224330.43655454,13303159.579966139,12263745.00826034
2015-04-19,11013657.07195952,13092513.510284416,12053085.291121967
2015-04-26,10449675.566446993,12528553.949079953,11489114.757763473
2015-05-03,9548025.594835633,11626921.620088266,10587473.60746195
2015-05-10,10665331.634024981,12744241.843484703,11704786.738754842
2015-05-17,10695955.747487595,12774877.360697797,11735416.554092696
2015-05-24,10677970.499191042,12756901.28074468,11717435.88996786
2015-05-31,10442028.390485995,12520966.543176256,11481497.466831125
2015-06-07,10527479.32359325,12606423.402511945,11566951.363052597
2015-06-14,10798080.272393035,12877029.115869386,11837554.69413121
2015-06-21,10318679.77953139,12397632.453609508,11358156.116570449
2015-06-28,10530326.062395073,12609281.81619578,11569803.939295426
2015-07-05,10592779.722994233,12880952.272869106,11736865.997931669
2015-07-12,10516867.101645485,12855066.603390554,11685966.852518018
2015-07-19,10400764.623901878,12745647.155341236,11573205.889621556
2015-07-26,10566924.214279963,12913811.507407952,11740367.860843956
2015-08-02,10480621.187142855,12831302.196818033,11655961.691980444
2015-08-09,10601106.172257064,12955416.638193155,11778261.40522511
2015-08-16,9713538.412683666,12073279.615243396,10893409.01396353
2015-08-23,10621693.602093318,12981876.765273143,11801785.18368323
2015-08-30,10582345.3959816,12950419.898331735,11766382.647156669
2015-09-06,10620010.895565124,12997057.174589159,11808534.035077142
2015-09-13,10781041.297233177,13165276.224108674,11973158.760670926
2015-09-20,10934168.377732191,13324167.154776335,12129167.766254263
2015-09-27,11072221.983346688,13466844.720556093,12269533.35195139
2015-10-04,11293993.702855576,13692327.547213271,12493160.625034424
2015-10-11,11445413.276585657,13846726.61819933,12646069.947392493
2015-10-18,11552738.175859798,13956444.295813449,12754591.235836623
2015-10-25,11635045.473984992,14040673.614249399,12837859.544117196
2015-11-01,10917521.12061608,13324693.414121334,12121107.267368706
2015-11-08,11781580.396566048,14189993.440640673,12985786.91860336
2015-11-15,11851559.557025349,14260969.676558528,13056264.61679194
2015-11-22,12158582.25713982,14568793.70640833,13363687.981774075
2015-11-29,12334428.38275113,14745283.892052997,13539856.137402063
2015-12-06,12577641.815876108,14989015.01189899,13783328.41388755
2015-12-13,12795223.77232705,15207013.097604645,14001118.434965849
2015-12-20,12567825.254042994,14979949.086913023,13773887.170478009
2015-12-27,10075472.254325587,12487864.991016837,11281668.622671213
2016-01-03,10886898.157324137,13299507.065609882,12093202.61146701
2016-01-10,12007681.874742752,14420464.566650053,13214073.220696403
2016-01-17,12545398.101215696,14958320.502625134,13751859.301920414
2016-01-24,12967864.673423745,15380899.392630998,14174382.033027371
2016-01-31,12924324.859695988,15337449.876389865,14130887.368042925
2016-02-07,12387457.646047337,14800655.257676052,13594056.451861694
2016-02-14,12248594.191200465,14661850.166130707,13455222.178665586
2016-02-21,12030362.381242305,14443665.27808375,13237013.829663027
2016-02-28,11855183.364703516,14268523.985167664,13061853.674935589
2016-03-06,11833009.742824888,14246380.691904519,13039695.217364704
2016-03-13,11772553.24487073,14185948.577278197,12979250.911074463
2016-03-20,11678138.376939991,14091553.3128799,12884845.844909946
2016-03-27,11412178.59824143,13825609.294916429,12618893.94657893
2016-04-03,11149026.239874298,13562469.607792512,12355747.923833404
2016-04-10,11222735.155483382,13636188.71078112,12429461.93313225
2016-04-17,10932718.665501025,13346180.411218297,12139449.53835966
2016-04-24,10379802.05673831,12793270.38736999,11586536.22205415
2016-05-01,9500159.72028014,11913633.345039135,10706896.532659639
2016-05-08,10611606.524547223,13025084.405670961,11818345.465109091
2016-05-15,10636359.053252237,13049840.356403215,11843099.704827726
2016-05-22,10620580.17616643,13034064.230555795,11827322.203361113
2016-05-29,10346947.675726535,12760433.942054624,11553690.80889058
2016-06-05,10526860.507042706,12940348.551724108,11733604.529383408
2016-06-12,10746367.705658438,13159857.180099614,11953112.442879025
2016-06-19,10283459.796401396,12696950.420340411,11490205.108370904
2016-06-26,10480636.620764045,12894128.168876085,11687382.394820064
2016-07-03,10539484.87240768,13135503.681038288,11837494.276722984
2016-07-10,10497373.347878207,13137531.199734088,11817452.273806147
2016-07-17,10401085.429703943,13047113.754190654,11724099.591947298
2016-07-24,10548128.20840036,13195904.80290141,11872016.505650884
2016-07-31,10474261.057812488,13125369.776810586,11799815.417311538
2016-08-07,10602292.45834705,13256593.581003757,11929443.019675404
2016-08-14,9666355.998959232,12325450.960382136,10995903.479670685
2016-08-21,10566004.440491585,13225503.655352859,11895754.047922222
2016-08-28,10546728.890971113,13213218.485240553,11879973.688105833
2016-09-04,10591905.56966234,13266355.948294023,11929130.75897818
2016-09-11,10755306.92599993,13436140.474051481,12095723.700025706
2016-09-18,10925369.808936482,13611324.297670912,12268347.053303698
2016-09-25,11064599.05773195,13754663.611611754,12409631.334671853
