Date,q1_forecast,q2_forecast,forecast
2015-07-05,11021083.906899758,12621286.098667573,11821185.002783665
2015-07-12,11054680.456905147,12845764.697986253,11950222.5774457
2015-07-19,11046345.844861554,12861203.26276719,11953774.553814372
2015-07-26,11173012.146879587,12992025.817333886,12082518.982106736
2015-08-02,10984594.173782349,12817819.491801953,11901206.832792152
2015-08-09,10817114.428882273,12659782.519416763,11738448.474149518
2015-08-16,10226941.967265666,12082438.398904964,11154690.183085315
2015-08-23,10857656.547605854,12714135.14452107,11785895.846063463
2015-08-30,10913678.162672982,12799314.672562508,11856496.417617746
2015-09-06,10994158.209491096,12912250.808019487,11953204.50875529
2015-09-13,11109135.463429982,13052955.225666324,12081045.344548153
2015-09-20,11096124.878541328,13060405.18643474,12078265.032488033
2015-09-27,11264182.776323427,13244776.253309986,12254479.514816705
2015-10-04,11443415.620136075,13437041.011946006,12440228.316041041
2015-10-11,11554104.50291884,13558156.449732345,12556130.476325592
2015-10-18,11642052.42157346,13654456.43848069,12648254.430027075
2015-10-25,11842898.48765453,13861999.168932753,12852448.82829364
2015-11-01,11372948.253191141,13397422.32975356,12385185.291472351
2015-11-08,11959334.996268023,13988123.251400048,12973729.123834034
2015-11-15,11690286.209374623,13722539.868895907,12706413.039135266
2015-11-22,12353814.06992587,14388852.405014634,13371333.237470252
2015-11-29,12592228.051113868,14629504.731861938,13610866.391487904
2015-12-06,12837675.953276547,14876752.27261424,13857214.112945395
2015-12-13,12946551.260099,14987074.777858324,13966813.01897866
2015-12-20,12646413.298029011,14688100.777677776,13667257.037853394
2015-12-27,10358743.144832935,12401366.900594419,11380055.022713678
2016-01-03,11078748.196566148,13122125.156812377,12100436.676689262
2016-01-10,12196506.43412387,14240489.37259574,13218497.903359804
2016-01-17,12656910.51654684,14701381.016520342,13679145.76653359
2016-01-24,12882627.519305428,14927490.324886268,13905058.922095848
2016-01-31,12761142.6526118,14806321.131526396,13783731.892069098
2016-02-07,12553027.081070634,14598459.578850912,13575743.329960773
2016-02-14,12389792.275748156,14435429.18528364,13412610.730515897
2016-02-21,12301056.245145138,14346857.650653549,13323956.947899343
2016-02-28,12090694.709479945,14136628.491923686,13113661.600701816
2016-03-06,12076820.138601154,14122860.45192842,13099840.295264786
2016-03-13,11992828.560626497,14038954.60609823,13015891.583362363
2016-03-20,11838105.328544615,13884300.368732098,12861202.848638356
2016-03-27,11629515.979032017,13675766.544553367,12652641.261792693
2016-04-03,11443951.39577799,13490246.647055095,12467099.021416541
2016-04-10,11144974.260445878,13191305.47415985,12168139.867302865
2016-04-17,11234394.09237059,13280754.248234449,12257574.17030252
2016-04-24,10880929.399671903,12927312.84791265,11904121.123792276
2016-05-01,10104260.698609492,12150662.892388325,11127461.795498908
2016-05-08,10906236.60885808,12952653.888941944,11929445.248900011
2016-05-15,10854596.79766439,12901026.219142418,11877811.508403406
2016-05-22,10882844.143213427,12929283.336046562,11906063.739629995
2016-05-29,10726706.224569809,12773153.281366434,11749929.752968121
2016-06-05,10466266.884877665,12512720.270578839,11489493.577728253
2016-06-12,10948749.040452464,12995207.519648788,11971978.280050626
2016-06-19,10692313.744953249,12738776.323390884,11715545.034172067
2016-06-26,10802977.531696118,12849443.40920172,11826210.47044892
2016-07-03,10740020.936520724,12971119.417904276,11855570.1772125
2016-07-10,10881845.70092544,13157504.039520465,12019674.870222952
2016-07-17,10906212.88803851,13187820.149586773,12047016.518812642
2016-07-24,10973254.428590346,13255946.88265884,12114600.655624593
2016-07-31,10881737.87184472,13168026.996508393,12024882.434176557
2016-08-07,10730134.661908904,13018833.644395819,11874484.153152362
2016-08-14,10057265.698276741,12349226.4518861,11203246.075081421
2016-08-21,10689332.688222319,12981514.967996703,11835423.828109512
2016-08-28,10787256.028952282,13086823.6456538,11937039.837303039
2016-09-04,10892927.928604836,13200803.58463314,12046865.756618988
2016-09-11,11021506.77970163,13336047.096954945,12178776.938328287
2016-09-18,11033289.047196098,13353179.186018577,12193234.116607336
2016-09-25,11211674.284812938,13535861.022702841,12373767.65375789
2016-10-02,11399599.59959108,13727238.485165905,12563419.042378493
2016-10-09,11496777.691626372,13827191.15554101,12661984.42358369
2016-10-16,11604379.278006602,13937023.328823265,12770701.303414933
2016-10-23,11777403.16981234,14111840.85152619,12944622.010669265
2016-10-30,11319825.136234857,13655705.333835993,12487765.235035425
2016-11-06,11911938.959674401,14248979.449013134,13080459.204343768
2016-11-13,11601393.725006528,13939367.60021748,12770380.662612004
2016-11-20,12317874.488873474,14656599.283524599,13487236.886199037
2016-11-27,12583442.547736444,14922771.508123163,13753107.027929803
2016-12-04,12790494.094182242,15130309.17452266,13960401.634352451
2016-12-11,12885271.910222162,15225478.147101197,14055375.02866168
2016-12-18,12589149.973977413,14929670.966594126,13759410.47028577
2016-12-25,10308062.108864222,12648836.386507962,11478449.247686092
