Date,q1_forecast,q2_forecast,forecast
2016-12-02,1906866.5418491159,2233359.783013253,2070113.1624311844
2016-12-03,1674174.5391383944,2070880.8799383536,1872527.709538374
2016-12-04,1457710.2206034716,1883633.3227118135,1670671.7716576424
2016-12-05,1794130.95281743,2234504.4920950877,2014317.7224562587
2016-12-06,1830819.1386007562,2288149.2498915484,2059484.1942461522
2016-12-07,1824657.9021732411,2293846.293366842,2059252.0977700413
2016-12-08,1824499.2151954593,2295863.483897637,2060181.3495465482
2016-12-09,1813594.9567175696,2319623.386826165,2066609.1717718672
2016-12-10,1616323.76621783,2130551.699338727,1873437.7327782784
2016-12-11,1418648.8399409456,1936929.004535019,1677788.9222379823
2016-12-12,1761790.0775711013,2286016.4392700195,2023903.2584205603
2016-12-13,1802277.2255776003,2338676.840980677,2070477.0332791386
2016-12-14,1794176.4640361515,2339537.1958815698,2066856.8299588608
2016-12-15,1790659.0165436422,2337062.7560660364,2063860.8863048393
2016-12-16,1774866.7787722424,2362684.1322722724,2068775.4555222574
2016-12-17,1579582.5901308917,2178553.062313767,1879067.8262223294
2016-12-18,1378481.156054532,1983758.3048005907,1681119.7304275613
2016-12-19,1715445.0412806883,2328962.93697015,2022203.989125419
2016-12-20,1749610.15830995,2378081.3535482585,2063845.7559291043
2016-12-21,1740824.603629637,2379456.6947560534,2060140.6491928452
2016-12-22,1740902.9271683719,2380562.595546906,2060732.761357639
2016-12-23,1735617.3829324741,2403548.5756432647,2069582.9792878695
2016-12-24,1543133.6357567573,2217751.0387654454,1880442.3372611012
2016-12-25,1343137.701259792,2022063.2752607139,1682600.488260253
2016-12-26,1680181.1637466382,2366303.4126088303,2023242.2881777342
2016-12-27,1715030.8218262019,2414708.7156085637,2064869.7687173828
2016-12-28,1706786.4474461817,2415403.902720527,2061095.175083354
2016-12-29,1707074.1522594981,2416430.14972078,2061752.1509901392
2016-12-30,1702897.5175018846,2438513.110100866,2070705.3138013752
2016-12-31,1510861.5480763419,2252925.947572154,1881893.747824248
