Date,Load_denoised,forecast,q1_forecast,q2_forecast
2016-02-06 23:00:00,64734.36458700153,74136.16369791738,69241.9351159055,79029.30813781984
2016-02-07 00:00:00,61644.705816304566,69417.24922895832,64820.6945697882,74526.74812009344
2016-02-07 01:00:00,59698.56822687696,64880.71322750866,59857.12731594619,69846.74540451265
2016-02-07 02:00:00,59094.81971326827,62003.625304648376,57212.151419713686,67147.60056539012
2016-02-07 03:00:00,58895.50418367792,60597.34870263265,55815.54287221473,65878.8597337655
2016-02-07 04:00:00,58908.529875561435,60037.45805487856,55379.16190241769,65351.46381000763
2016-02-07 05:00:00,59155.92896870846,59672.78031874972,55449.63375253456,64801.78461767018
2016-02-07 06:00:00,60463.91933217741,59325.2609210508,55242.555204573386,64138.729546511735
2016-02-07 07:00:00,61291.55235160659,59834.900961337815,56256.00540557434,64401.20532930594
2016-02-07 08:00:00,62235.87867331369,61472.58676333203,57468.473384687866,65940.70369634379
2016-02-07 09:00:00,65215.42482510695,64391.88157610203,58996.045370889835,68788.65085682584
2016-02-07 10:00:00,67908.87829983837,68011.64266621819,62626.65367960645,72226.71192415398
2016-02-07 11:00:00,68976.80627711749,70495.202436649,65086.540978275334,75132.05316957194
2016-02-07 12:00:00,68669.07786912876,71423.7404598579,66398.9887900292,76149.40881672238
2016-02-07 13:00:00,69003.47756891063,71658.76391290255,66357.10253188305,76374.04484271187
2016-02-07 14:00:00,67931.43915411789,71834.54591625779,67384.60816871938,76491.15749200004
2016-02-07 15:00:00,66521.99561956055,70831.26386434602,66401.20532279708,75908.49230254028
2016-02-07 16:00:00,67325.5405454937,69739.92872405499,64891.23234470977,75405.52951875444
2016-02-07 17:00:00,73946.67119040099,70494.5776981518,65249.23248881611,79507.17567085054
2016-02-07 18:00:00,76357.24189511125,72110.13411734503,65603.24227011722,81883.5171574086
2016-02-07 19:00:00,76662.90082113116,73957.92392034922,66849.41647151811,82053.82258954688
2016-02-07 20:00:00,74607.72729673043,75961.84205007584,69230.75317659843,83135.8876470018
2016-02-07 21:00:00,70626.73834447571,76292.4404955683,70913.09517775528,81631.18444269126
2016-02-07 22:00:00,67030.40915802002,74686.64533664373,70649.87404426323,78650.58690697048
2016-02-07 23:00:00,63521.77362062191,71706.22156026731,66849.77904409522,76705.71974983564
2016-02-08 00:00:00,61495.09262676441,67202.54894567686,62806.72732191215,72008.34555211455
2016-02-08 01:00:00,61304.37780442757,63555.19294023919,59030.90664737082,68430.87329028909
2016-02-08 02:00:00,61286.433253977586,62091.549413595916,57336.499454056786,66536.73575523423
2016-02-08 03:00:00,61524.37279742162,61620.20772096171,56937.84911717328,65734.08022624161
2016-02-08 04:00:00,62452.49967318535,61791.82749497752,57170.65821902347,65846.92782721922
2016-02-08 05:00:00,65177.33488016685,62317.860540313035,57695.52876502073,66364.76277221348
2016-02-08 06:00:00,73910.57341683505,64265.11639919067,59886.35958777057,69194.08725923969
