Date,Load,Load_denoised,forecast,q1_forecast,q2_forecast
2016-11-01 19:00:00,68155.0,68222.85652955424,70941.4218505205,70465.00948848638,71417.83421255462
2016-11-01 20:00:00,67162.4,67059.00264851893,69663.21688134827,69040.97583262758,70285.45793006897
2016-11-01 21:00:00,64160.8,64222.90642799085,67231.8567273758,66756.99210701189,67706.72134773972
2016-11-01 22:00:00,61179.0,61080.84001686166,64476.36595135697,64163.67452033106,64789.05738238289
2016-11-01 23:00:00,56959.0,57090.23060272286,60812.49077881526,60650.41554504637,60974.56601258415
2016-11-02 00:00:00,54582.90000000001,54579.323190445415,71964.18404989102,65132.79047836371,77144.29236453385
2016-11-02 01:00:00,56235.2,56172.58189956421,69705.70794935452,62902.2835104195,75052.14181868223
2016-11-02 02:00:00,55491.4,55524.24191483759,68835.96644753256,62249.92456352099,73709.22069895707
2016-11-02 03:00:00,56535.8,56496.41593069821,68964.2717661684,62896.36494072504,73634.50934515864
2016-11-02 04:00:00,57984.7,57925.37313903152,69179.31253306719,63257.21946271541,73737.1009494177
2016-11-02 05:00:00,61209.1,61257.14555571341,70212.87019389875,63593.77935903137,74766.84992782562
2016-11-02 06:00:00,70209.0,70248.4609894451,76265.47448330163,70423.99427233392,81334.3387188425
2016-11-02 07:00:00,79347.8,79287.986125191,84057.04826265923,78288.16933908292,89240.59204749373
2016-11-02 08:00:00,84757.2,84800.79195586758,88268.38487049578,83124.34089368525,92592.03484050004
2016-11-02 09:00:00,87390.9,87320.27236603136,90137.34581134164,85377.09740457965,94712.15980720392
2016-11-02 10:00:00,87659.09999999999,87817.63276990363,90237.23545227687,85724.71338764255,94771.93084495858
2016-11-02 11:00:00,89540.70000000001,89372.4410417118,91187.95700542172,86648.4097482441,95913.12494780427
2016-11-02 12:00:00,89784.59999999999,89881.38097257132,91343.47820966937,86540.46798486152,96332.58165046696
2016-11-02 13:00:00,90078.0,89978.55264234723,91588.73961160512,86490.75017233487,96554.0820888612
2016-11-02 14:00:00,88031.4,88038.22388055333,90212.89029705258,85044.90962545403,95283.20993586196
2016-11-02 15:00:00,87599.9,87702.17875606052,89369.37330653472,83967.39457797536,94749.06605488894
2016-11-02 16:00:00,90174.9,90318.09737910503,89610.42503971292,83233.14098784047,99000.0045162524
2016-11-02 17:00:00,94034.6,93868.1175863123,90029.14837712178,82786.57059761282,100262.52016213143
2016-11-02 18:00:00,92587.1,92543.40485455704,90287.90042657065,82381.35878145574,98933.04738772806
2016-11-02 19:00:00,91679.6,91659.6487871177,91556.24533904632,83567.2765523336,98865.96501988253
2016-11-02 20:00:00,89369.9,89486.0613633995,91479.89230655738,85529.5187508488,96623.69213075213
2016-11-02 21:00:00,84205.0,84017.01164206749,88358.69923339183,83725.50533305085,91960.37086400134
2016-11-02 22:00:00,76842.80000000002,76950.412086551,82503.04957300374,76903.84763798564,87664.69632190547
2016-11-02 23:00:00,71560.8,71530.97909153259,76930.85226627435,70741.45753139062,81939.29691884144
2016-11-03 00:00:00,68099.20000000001,68186.16818300403,72378.4988560922,66239.73769745602,77755.69417040599
2016-11-03 01:00:00,67768.9,67774.83098850389,70135.94547051314,63602.022389368605,75457.51522602214
2016-11-03 02:00:00,67933.4,67926.17438390892,69211.83264113765,62766.6831470999,74429.89095324658
2016-11-03 03:00:00,68190.5,68126.62818400355,69278.3027113494,62781.063943549096,74332.36171158322
2016-11-03 04:00:00,68416.6,68383.29706735697,69479.19525384434,63315.01912446049,73974.50714639462
2016-11-03 05:00:00,68542.0,68614.19445679434,70445.79681215507,64516.06388412687,74949.72842758542
2016-11-03 06:00:00,76195.0,76292.21246042235,76318.70352500326,71906.37573553457,80955.95471369725
2016-11-03 07:00:00,84336.5,84301.17497553029,84027.86623484305,79379.34280801576,88558.00665585996
2016-11-03 08:00:00,88880.1,88759.3997754875,88246.62843381,84312.10894543244,92542.97324393514
2016-11-03 09:00:00,90293.4,90333.95136701412,90121.96522330237,86266.93489361998,94449.62646108284
2016-11-03 10:00:00,90059.29999999999,90092.04472660604,90258.08675058106,86093.95073991187,94706.26834876584
2016-11-03 11:00:00,91405.1,91387.24143667045,91227.81843730171,86557.67812859398,96120.76025854357
2016-11-03 12:00:00,91740.6,91769.88605966006,91408.94773668388,86700.5845585565,96541.51120529562
2016-11-03 13:00:00,92529.8,92386.70978263197,91678.76418186854,86791.53520256543,96809.93054408004
2016-11-03 14:00:00,90515.7,90610.10055375723,90306.017102491,85365.46953578509,95114.24951470968
2016-11-03 15:00:00,90896.3,90809.51114254555,89485.11057905655,84358.54401053391,94748.05904552246
2016-11-03 16:00:00,93271.7,93422.58104748648,89704.01502485188,83530.29371901645,98869.92440153028
2016-11-03 17:00:00,96513.8,96476.05873199776,90135.70826907846,82668.60165434731,99770.74828466288
2016-11-03 18:00:00,95017.5,95065.71557716456,90424.79794905592,81907.42575045272,98449.36896094744
2016-11-03 19:00:00,94256.8,94229.41311456168,91619.32106125432,83620.56174320602,98815.36912356396
2016-11-03 20:00:00,91816.5,91843.31937766084,91543.29067761706,85471.81985645785,96763.63876211784
2016-11-03 21:00:00,86273.5,86102.94545981978,88457.71241012518,83584.48350126983,92253.81967042014
2016-11-03 22:00:00,78898.3,79036.15993006038,82598.66520890346,76949.72860636757,88096.67461379568
2016-11-03 23:00:00,73639.4,73619.56765615218,77041.30292553607,71559.99204218277,82377.95015436289
2016-11-04 00:00:00,69658.5,69638.43132583516,72248.85700218535,62484.85003866744,77420.87262282331
2016-11-04 01:00:00,67301.09999999999,67327.5461676777,69978.81391980525,60545.61566869424,75409.90401481018
2016-11-04 02:00:00,66337.6,66304.24779056558,69029.52941352864,59876.3650652379,74366.055137266
2016-11-04 03:00:00,66408.7,66437.14970407606,69083.11675526401,59752.47636781619,74232.27029707351
2016-11-04 04:00:00,67353.2,67358.22359524354,69269.06745374823,59992.74594182531,74273.29256616345
2016-11-04 05:00:00,70525.1,70583.35785493735,70186.04369876857,60024.36189765528,74686.55378065605
2016-11-04 06:00:00,77987.4,78019.44236659113,75889.82355105944,64653.24796083898,81266.46939537018
2016-11-04 07:00:00,85981.7,85884.15358184263,83320.58123436391,70976.25756290546,88571.6145758822
2016-11-04 08:00:00,89602.29999999999,89627.91319607073,87506.72006445355,75443.87184050973,92240.78096901224
2016-11-04 09:00:00,91236.5,91102.123037466,89444.92389153733,78411.94814510678,94296.08075434368
2016-11-04 10:00:00,90217.5,90304.48179411115,89669.16047566356,79642.99699361116,94870.22540618124
2016-11-04 11:00:00,90758.8,90771.45377700833,90606.77979553936,80830.20205518536,95997.16338446262
2016-11-04 12:00:00,90995.8,91058.82693425727,90808.5230499668,80610.9924181089,96434.12685804124
2016-11-04 13:00:00,91442.6,91258.33679723275,91036.50188352838,81672.6293133411,96774.2696118368
2016-11-04 14:00:00,89755.9,89823.58189484788,89644.36369616441,81016.4056238589,95083.89008346909
2016-11-04 15:00:00,89698.2,89743.50554253404,88744.50779177304,80985.8005420129,94529.7430657954
2016-11-04 16:00:00,93281.9,93345.09899261167,88897.76660764684,81237.22131318097,98666.75044607728
2016-11-04 17:00:00,96183.8,96099.56099308038,89306.8601748774,80021.72251043319,99448.22987882746
2016-11-04 18:00:00,94529.5,94597.17726935286,89568.81879876045,79158.31512610735,97929.91326233442
2016-11-04 19:00:00,93909.8,93823.6660945467,90481.73789436728,79171.31255539958,97530.47338814272
2016-11-04 20:00:00,91010.6,91085.54688199874,90073.92861873547,79937.07162761808,95123.3142075747
2016-11-04 21:00:00,85371.1,85211.38728267657,86998.81216220283,80050.77812027265,90593.27455508802
2016-11-04 22:00:00,78876.6,79010.90236713263,81746.57549465226,75403.30263125378,87134.3972794791
2016-11-04 23:00:00,73986.6,73950.96876425133,76584.70883817464,70288.18507766805,81783.97448226517
2016-11-05 00:00:00,69238.0,69313.77185191543,71669.31381159378,62432.66497206804,76868.76454954394
2016-11-05 01:00:00,66517.4,66416.74027073116,68710.14405358463,60352.97049894233,74254.07309399228
2016-11-05 02:00:00,64820.4,64959.14320420893,67201.82744852277,59368.25609571632,72895.20354487964
2016-11-05 03:00:00,64580.3,64521.00480606897,66779.38110696537,58829.05057305136,72552.33205546229
2016-11-05 04:00:00,64765.4,64737.29085393174,66391.83736706959,58275.46373578465,71086.1568291175
2016-11-05 05:00:00,65853.2,65856.2136900338,65905.73798345163,57779.23212772627,70685.40736506876
2016-11-05 06:00:00,68945.29999999999,68954.95450162803,67678.19945305072,59634.554522589024,72416.03851388826
2016-11-05 07:00:00,72926.09999999999,72994.44354284431,71705.39102020377,63939.62502571639,76179.13827264712
2016-11-05 08:00:00,78170.9,78164.90844486599,76301.12620127105,68320.27109579134,80740.75454665306
2016-11-05 09:00:00,81436.90000000001,81385.48845982848,80044.16180430862,71862.29283273272,84771.0037569197
2016-11-05 10:00:00,82615.0,82676.07996254177,81768.07260038343,73641.12683511735,86494.88442466925
2016-11-05 11:00:00,83220.8,83110.93365536215,82533.59482713557,74125.15138887493,87386.32027763345
2016-11-05 12:00:00,82551.4,82654.2564690798,82181.97983390925,74033.80815003482,86948.24006456966
2016-11-05 13:00:00,82221.8,82132.52853335012,81844.94996711332,74277.37157543331,86675.99784579863
2016-11-05 14:00:00,79771.09999999999,79718.17847805555,80009.47108227065,73685.70166862317,84937.72918226238
2016-11-05 15:00:00,78889.2,78961.26034145193,78746.70429011832,72986.74102018273,84763.23676160481
2016-11-05 16:00:00,82898.2,82858.16664820544,79143.01845370789,72902.60278680555,89102.17238851023
2016-11-05 17:00:00,85581.7,85579.51050335242,79847.6802847257,72648.4293679698,90390.0637737782
2016-11-05 18:00:00,84186.8,84216.75244798619,80750.4689732507,72499.96561685002,89276.97113994155
2016-11-05 19:00:00,82627.4,82690.5903372207,81608.52904300486,73628.2522180674,89218.9779009564
2016-11-05 20:00:00,79836.4,79737.4215234766,81310.2743087674,75873.99278748556,86870.89202208472
2016-11-05 21:00:00,74677.2,74761.92750329635,78925.66233550706,74501.83358185165,82962.21149390662
2016-11-05 22:00:00,70559.1,70511.98950375401,75149.32403245322,70355.1007811937,80012.47472322441
2016-11-05 23:00:00,66220.5,66232.91356335283,70422.88239093439,65817.80141671386,75538.67763591559
2016-11-06 00:00:00,61904.6,61976.77197770603,65891.40585833433,61116.03594253271,70894.5616941357
2016-11-06 01:00:00,59272.0,59220.14880170226,63014.62585309606,58201.345601851805,68155.84696327616
2016-11-06 02:00:00,57534.7,57541.434010147714,61611.77607827356,56796.54962742808,66903.58242408531
2016-11-06 03:00:00,56909.6,56876.649571646514,61057.63606064331,56376.34072916389,66410.08032394122
2016-11-06 04:00:00,56769.2,56818.92873192167,60689.69264331236,56463.11372747237,65820.99096490176
2016-11-06 05:00:00,57972.0,57997.165683172585,60334.66075369566,56261.33896059495,65216.10041863341
2016-11-06 06:00:00,59618.600000000006,59532.9773934899,60835.93922260945,57249.1462872412,65468.08610488157
2016-11-06 07:00:00,60835.6,60893.51780694139,62490.65598403495,58488.685717909175,67003.04166041367
2016-11-06 08:00:00,63643.5,63596.867058625256,65430.31532627792,60013.25496260593,69833.75966273063
2016-11-06 09:00:00,67494.4,67533.3598971862,69054.80786692111,63612.34692271405,73281.02517790193
2016-11-06 10:00:00,70441.3,70408.30086674281,71538.62447675077,66130.98531718478,76188.57017308616
2016-11-06 11:00:00,71600.0,71639.21611523436,72468.30294595895,67453.35034901163,77223.46987672496
2016-11-06 12:00:00,72036.3,72114.21819263551,72704.65672653874,67419.74209854937,77445.14661843506
2016-11-06 13:00:00,72662.6,72595.23980251237,72881.04436160049,68438.51198104507,77573.27025729111
2016-11-06 14:00:00,71652.0,71593.85932658921,71882.50413999555,67458.13371423952,76989.09820684647
