Date,Load_denoised,forecast,q1_forecast,q2_forecast
2016-07-05 23:00:00,68836.97014118722,67146.9048732539,61777.72778602993,72154.64975743498
2016-07-06 00:00:00,63569.458930115965,62458.24976252559,55597.41288745018,67600.01125411637
2016-07-06 01:00:00,61760.555081742496,60208.824024359565,53306.80047895292,65503.42020929621
2016-07-06 02:00:00,62430.17097381473,59347.791815167,52416.94143091413,64222.518162487446
2016-07-06 03:00:00,63261.68812113107,59484.82735766051,53047.26932000851,64032.43512334509
2016-07-06 04:00:00,61592.54329323958,59692.64072798474,53552.4167795507,64278.16865060938
2016-07-06 05:00:00,61570.287393428356,60720.92328477245,54029.345299780245,65299.88445195465
2016-07-06 06:00:00,65992.07313475203,66827.84855848044,61055.51847657973,71915.07137742719
2016-07-06 07:00:00,73085.14185179537,74657.57393737895,69574.28430768868,79875.62304019519
2016-07-06 08:00:00,77523.40227750315,78876.75380508664,73929.68766477665,83251.93656423393
2016-07-06 09:00:00,79652.7437070439,80727.92986134044,75889.32770478234,85216.10286867364
2016-07-06 10:00:00,80218.44305333061,80805.55976788056,76224.75625109382,85451.39551385063
2016-07-06 11:00:00,81728.47877845634,81766.11936584709,77188.84125765575,86651.78547268256
2016-07-06 12:00:00,82191.78077830296,81926.11938288235,77230.20849048835,86874.38746532121
2016-07-06 13:00:00,81749.97331039711,82170.38818932312,77236.3324005883,87363.5375962081
2016-07-06 14:00:00,80005.51954574801,80781.39133780451,75708.46848520506,85876.66155336001
2016-07-06 15:00:00,79073.66785153406,79932.21576960348,74482.7822692963,85376.80386756567
2016-07-06 16:00:00,77426.27580146541,80115.51518430474,73959.3893572179,89434.2156342619
2016-07-06 17:00:00,76460.97784261368,80523.7824240494,73390.93460035115,90784.41494064278
2016-07-06 18:00:00,75400.50152037505,80775.32068438346,72983.47975146757,89517.82084904064
2016-07-06 19:00:00,75930.73075823991,82019.33875372342,74119.8289327081,89368.53932331147
2016-07-06 20:00:00,76349.11276691336,81949.88356313146,75989.56340074669,87077.72977892323
2016-07-06 21:00:00,75745.83286517898,78817.19310313668,74444.56570365974,82372.4010103996
2016-07-06 22:00:00,72379.77502066229,72943.91416937813,67563.19786710538,78143.53861504937
2016-07-06 23:00:00,67019.99808847082,67360.61607374139,61507.02165225119,72407.49567284463
2016-07-07 00:00:00,61987.0660953907,62812.272488721945,56646.31009999686,68189.38902198302
2016-07-07 01:00:00,59626.94094510515,60587.38904300173,54202.458445285614,65861.26272640114
2016-07-07 02:00:00,59804.724229944775,59655.034494391926,53405.63887467992,64758.94699687845
2016-07-07 03:00:00,60091.181743626556,59717.86090912532,53312.68467173884,64720.348042614125
2016-07-07 04:00:00,59353.844737790074,59908.93801651533,53849.322181331016,64262.921595294145
2016-07-07 05:00:00,59586.97649175403,60883.54815392908,55366.092620541254,65295.42612624398
2016-07-07 06:00:00,64877.2002917083,66816.80811043,62394.624906318066,71470.22777587772
2016-07-07 07:00:00,72473.14698446193,74568.94281071864,69968.36969900323,79243.68088101981
2016-07-07 08:00:00,77390.64240940243,78798.75614545547,74831.20620265721,83132.64961689891
2016-07-07 09:00:00,79497.41976814742,80660.88668241249,76760.76075636239,85055.22683517422
2016-07-07 10:00:00,79881.11667776512,80773.6088944296,76571.49527864718,85383.3230957939
2016-07-07 11:00:00,81838.37227062731,81747.58294842692,77087.69128080568,86720.87650361488
2016-07-07 12:00:00,82115.94906473566,81929.1151463486,77191.20537963367,87004.23385329286
2016-07-07 13:00:00,81758.98483634274,82200.47105111212,77213.7359207057,87246.3935098626
2016-07-07 14:00:00,80717.80037279126,80812.25245645968,75769.3718904189,85718.25651691301
2016-07-07 15:00:00,80025.2029634461,79981.44064949166,74820.11600483047,85332.39666000011
2016-07-07 16:00:00,78570.87338615718,80152.17337700681,73957.13363100255,89273.11441287622
2016-07-07 17:00:00,77114.25101754811,80586.1584512787,73145.8058305584,90228.94625174072
2016-07-07 18:00:00,76324.82226598286,80864.92907465856,72494.78677773601,88796.68708991504
2016-07-07 19:00:00,76698.73635641625,82032.65405535961,74097.59060347153,89100.61942328289
2016-07-07 20:00:00,77669.53018038068,81946.40902874318,75995.0473073329,87091.10143705201
2016-07-07 21:00:00,77424.63528771646,78837.97140486765,74359.55002991101,82553.90901593224
2016-07-07 22:00:00,75066.43065854383,72959.18152878416,67457.90064711346,78564.01091712693
2016-07-07 23:00:00,69432.14684619954,67400.54487041467,62102.017182702046,72667.26020144645
2016-07-08 00:00:00,64187.34479428358,62603.615755758045,52888.40009684895,67816.33690840322
2016-07-08 01:00:00,60874.23486170621,60339.28030086835,50898.06779905346,65829.11358856336
2016-07-08 02:00:00,59239.65390238054,59390.965542552985,50334.306696632586,64741.89869556073
2016-07-08 03:00:00,58598.32604181298,59447.23531834165,50125.75898509152,64747.898073059405
2016-07-08 04:00:00,56986.00985461737,59631.67937900914,50427.13885181069,64617.93329195499
2016-07-08 05:00:00,57205.9492250818,60549.68939452329,50588.56768008434,64981.666777730956
2016-07-08 06:00:00,65008.585625603155,66321.56899480971,55027.88044096919,71669.66986914823
2016-07-08 07:00:00,73665.21542329362,73800.0515413205,61520.78972468645,79540.4544723166
2016-07-08 08:00:00,78973.83613987526,77996.73858896628,65995.74271745366,82823.35072330556
2016-07-08 09:00:00,81197.45574444663,79927.05592775998,69255.1561009738,84778.60178118067
2016-07-08 10:00:00,81841.08182578832,80129.79174408861,70717.46008379318,85453.50300486268
2016-07-08 11:00:00,83630.10507890892,81066.88598546217,71477.10628761498,86948.77180215914
2016-07-08 12:00:00,83852.54818029962,81268.60543128723,71287.25783670887,87170.52181235833
2016-07-08 13:00:00,83985.84644063756,81491.47765028138,72258.34199063187,87264.66224142876
2016-07-08 14:00:00,82423.59734942042,80075.17293322737,71502.18392980631,85539.17954954853
2016-07-08 15:00:00,81507.45066771643,79164.93963946406,71416.2888184711,85018.29566980361
2016-07-08 16:00:00,80567.3279896877,79269.81088806388,71694.63969246337,88923.17539344725
2016-07-08 17:00:00,79231.09340295622,79682.57623516412,70701.67579353956,89778.18250909317
2016-07-08 18:00:00,77991.35349069894,79927.14883882407,69909.08841521293,88325.98268518677
2016-07-08 19:00:00,78339.59566332461,80807.33308861444,69943.32882155776,87887.61778753682
2016-07-08 20:00:00,78582.7433056394,80400.59469748572,70638.98683980954,85493.58922030045
2016-07-08 21:00:00,77997.00871931828,77317.87249938301,70616.00108143709,80896.37511462293
2016-07-08 22:00:00,74092.65357636889,72043.16077724528,65921.5194930009,77459.89479489751
2016-07-08 23:00:00,68676.15745438226,66869.75701978493,60758.2649474671,72105.98295517934
2016-07-09 00:00:00,63823.792568358775,61929.86078974907,52631.95785201965,67173.31648755081
2016-07-09 01:00:00,60631.628543964485,58972.858679485995,50600.86375317817,64571.957254466375
2016-07-09 02:00:00,58859.30207312225,57467.846996300694,49542.75454760828,63100.33509042992
2016-07-09 03:00:00,58525.130554242736,57048.44890748486,48995.13118706713,62594.67596243958
2016-07-09 04:00:00,56074.68995954162,56652.36714864049,48507.719509601,61413.31250477648
2016-07-09 05:00:00,55103.92349526156,56158.28307268289,47929.42648285492,61068.12660133449
2016-07-09 06:00:00,58237.34170036866,57977.442038309244,49962.45955155647,62848.75888714266
2016-07-09 07:00:00,62582.94496944894,62046.0222119045,54079.30880002677,66815.95925654001
2016-07-09 08:00:00,67376.58082157013,66657.17153948,58438.745872345986,71512.84217179647
2016-07-09 09:00:00,70814.3898713116,70395.67361846044,62052.86747242794,75259.22438137938
2016-07-09 10:00:00,71975.08790282057,72109.2629765221,63822.10302752066,77039.11654995846
2016-07-09 11:00:00,73012.94482496404,72861.73660111803,64226.17571829183,77886.98225968004
2016-07-09 12:00:00,72731.42613681522,72496.96047670172,64153.86892077174,77287.65769649736
2016-07-09 13:00:00,71785.8080164046,72140.21593059672,64958.60208297768,77057.63361143357
2016-07-09 14:00:00,69364.60324772476,70269.05233519115,63971.91644899008,75403.90257634297
2016-07-09 15:00:00,68142.43381193375,68985.92198893295,63238.66562159645,74819.63425818364
2016-07-09 16:00:00,66781.9131908829,69350.10969005925,63029.40284481003,79270.97108390249
2016-07-09 17:00:00,65972.61559627255,70062.59500819667,62806.84877554261,80548.86380321058
2016-07-09 18:00:00,65737.04442237447,70947.48332338047,63041.95002078336,79489.26862293843
2016-07-09 19:00:00,66248.83484278868,71765.97254986744,64239.37604886816,79100.76060543903
2016-07-09 20:00:00,66797.30319639794,71466.55712799336,66122.33538474931,76647.83957427795
2016-07-09 21:00:00,67325.14171127335,69086.94351197928,64616.45932988563,73169.21905301648
2016-07-09 22:00:00,65447.18623260958,65301.70327569696,60437.579753282305,70233.63546884379
2016-07-09 23:00:00,60686.865996381755,60569.25964708689,55914.24201567388,65632.36056920933
2016-07-10 00:00:00,55811.002197584436,56068.60296982216,51197.096747534335,60974.60562846465
2016-07-10 01:00:00,53174.338811878115,53204.011415661465,48524.684338923165,58306.49692207188
2016-07-10 02:00:00,50834.38118802954,51799.178856507904,47135.1992698185,57038.66905785737
2016-07-10 03:00:00,50225.95149927924,51241.27275550808,46728.444654116465,56475.45808720342
2016-07-10 04:00:00,48956.35479341948,50864.658680787645,46704.20547513183,55989.753874204536
2016-07-10 05:00:00,47865.943909339665,50510.18937937441,46481.621231292156,55285.52657376293
2016-07-10 06:00:00,49537.37689149424,51040.36390830194,47535.72597354889,55573.40517822631
2016-07-10 07:00:00,52973.78822731437,52731.15597951593,48736.62968869783,57289.08484479163
2016-07-10 08:00:00,56766.86035748983,55683.65002813084,50285.40089750415,60043.04031626927
2016-07-10 09:00:00,60832.1158434143,59305.78919032999,53940.60146741467,63498.13362371257
2016-07-10 10:00:00,63585.06693576621,61790.983980626224,56401.64430927185,66391.10697203426
2016-07-10 11:00:00,64526.687991642706,62718.52791196865,57711.694414245525,67460.52681585828
2016-07-10 12:00:00,64824.69190744002,62950.269068866815,57829.62226654544,67651.11582365798
2016-07-10 13:00:00,64937.02259183698,63122.07986138517,58677.018923247706,67792.85943209998
2016-07-10 14:00:00,63895.708751467915,62108.04127006342,57678.95810115897,67082.29993830349
2016-07-10 15:00:00,62615.29424124176,60999.68480093579,56234.3532011542,66613.10509753098
2016-07-10 16:00:00,62023.4732669737,61693.16891914081,56589.64520665499,70700.25200607965
2016-07-10 17:00:00,62058.43648719715,63302.900240362746,56900.37112900458,72839.08330211155
2016-07-10 18:00:00,62669.23083469308,65171.16797902911,58164.47326485754,73142.68290612705
2016-07-10 19:00:00,63613.127504071854,67159.73740594347,60509.118541467746,74339.02396073693
2016-07-10 20:00:00,64256.18311542283,67499.79061244024,62195.13551829123,72825.18519953481
2016-07-10 21:00:00,65992.10791385028,65917.8552193023,61909.742672382374,69871.98423344575
2016-07-10 22:00:00,65939.64150679504,62955.48977288561,58159.698429178476,67918.47020308847
2016-07-10 23:00:00,61627.59964818452,58458.02607605077,54109.23182471376,63268.90118286743
2016-07-11 00:00:00,56690.926530016935,54807.66773945284,50356.784104208506,59481.44629000083
2016-07-11 01:00:00,54006.22877774968,53343.73360768806,48684.561823576834,57734.38150268009
2016-07-11 02:00:00,52632.14417804794,52880.837394748145,48199.260116355756,56963.96086542559
2016-07-11 03:00:00,52970.836721509324,53064.695798004694,48409.437201797584,57052.16246888463
2016-07-11 04:00:00,53091.985034172416,53589.89903976173,48939.65029904914,57581.135180083846
2016-07-11 05:00:00,54260.093505696284,55539.61549233759,51002.98173870107,60463.38154226509
2016-07-11 06:00:00,61904.4598893394,63154.85687587373,55958.833442215764,68334.79903083132
2016-07-11 07:00:00,72238.22118992505,71912.04951635597,62892.518111841,77281.0218626417
2016-07-11 08:00:00,79276.95884216396,76988.50834880538,67456.59663368549,81482.4646887568
2016-07-11 09:00:00,82878.59380051533,79355.3112518326,71008.90257333909,84165.58797097509
2016-07-11 10:00:00,84236.25042977935,79633.9467975609,72898.93817437322,84525.26776745344
2016-07-11 11:00:00,86479.80439660072,80579.70450793605,73883.09979062153,85641.41594794927
2016-07-11 12:00:00,86867.0354470903,80793.90730265963,74001.11199365862,86048.51559738767
2016-07-11 13:00:00,87378.91014034038,81107.96199851933,74660.15239885052,86518.2476438456
2016-07-11 14:00:00,85248.69767645038,79710.78613353547,73627.15420934856,85253.71824736267
2016-07-11 15:00:00,83963.04567153481,78907.3839667896,73600.1496576816,84534.26287535916
2016-07-11 16:00:00,82497.85645394426,79192.49689550468,72910.38126789399,88325.55934314191
2016-07-11 17:00:00,80697.90021798096,79767.81656047082,72142.56713076802,90111.27160230139
2016-07-11 18:00:00,79373.2293750894,80092.32024220994,71824.47287060671,89040.48708424524
2016-07-11 19:00:00,79942.16448840614,81281.52820566217,73251.6472823189,88707.87310479284
2016-07-11 20:00:00,80186.75961402306,81140.96600168612,73931.15470582647,86437.72258145164
2016-07-11 21:00:00,80329.83976565883,78022.12522253308,72659.71154067121,81605.6051496266
2016-07-11 22:00:00,76920.87019418564,72242.0079380991,66641.45159316625,77458.48125952874
2016-07-11 23:00:00,70397.3704102503,66615.4098281824,60559.43521439558,71689.72898676395
2016-07-12 00:00:00,65321.16546758071,61972.97418866428,51693.943890173905,67131.83125305844
2016-07-12 01:00:00,62475.705090846386,59860.71463403688,50106.78274651387,65309.820319291895
