Date,Load,forecast,q1_forecast,q2_forecast
2016-07-16 01:00:00,129584.96658007253,131927.06597106915,122692.79563550669,137181.52957309625
2016-07-16 02:00:00,127602.29082108801,128995.94834751652,120633.22619590412,134642.2018438942
2016-07-16 03:00:00,127737.51785449986,127442.61024608476,119607.47541625568,133127.59319966615
2016-07-16 04:00:00,126739.84767991341,127076.32585944794,118984.82117324059,132543.99523179376
2016-07-16 05:00:00,124914.68029693258,126643.83735262763,118635.64889759062,131410.72398518192
2016-07-16 06:00:00,127480.91570515989,126204.18873396062,117901.43890679159,131091.86731508543
2016-07-16 07:00:00,132307.65390419643,127957.56663850891,119980.39425215096,132925.22246307431
2016-07-16 08:00:00,137467.29489364196,132018.542954788,124090.88349728502,136776.17756827144
2016-07-16 09:00:00,141286.7386730947,136668.1370367483,128400.23462944648,141511.1140066881
2016-07-16 10:00:00,142756.2852421515,140470.0608650654,132184.81593497228,145374.9340315203
2016-07-16 11:00:00,143661.13460040785,142080.9990010575,133817.44755776337,146990.18456235508
2016-07-16 12:00:00,143391.38674745773,142925.94107516407,134352.45198446454,147961.89026053585
2016-07-16 13:00:00,142752.94168289378,142466.8301740433,134135.10655259152,147264.92828601605
2016-07-16 14:00:00,140522.39940630726,142266.59740278352,135064.97325944534,147240.94799267472
2016-07-16 15:00:00,139242.55991728784,140226.07225356702,133938.34243963857,145364.5342448525
2016-07-16 16:00:00,138487.923215424,138967.0514996794,133237.81022064664,144742.4284712421
2016-07-16 17:00:00,137574.8893003026,139371.95887292866,133061.18108981545,149412.29970996876
2016-07-16 18:00:00,137222.15817150928,140091.71326641037,132890.58787615362,150522.3515056544
2016-07-16 19:00:00,137386.42982862814,140958.2559234477,133106.52765358347,149550.9688026633
2016-07-16 20:00:00,137358.2042712419,141776.4075804485,134366.59573193936,149245.28989923288
2016-07-16 21:00:00,137906.28149893187,141511.7350567672,136199.07938311214,146743.66784642733
2016-07-16 22:00:00,135887.26151127787,139137.2344344282,134620.12942904598,143276.4425844781
2016-07-16 23:00:00,130899.64430785851,135332.16884614422,130489.34341019939,140279.69457343974
2016-07-17 00:00:00,126266.4298882508,130604.978152736,125897.78211613724,135624.66983093283
2016-07-17 01:00:00,123189.61825203033,126094.27956133592,121251.43302838599,131054.43491178913
2016-07-17 02:00:00,121479.90939877144,123248.0215419205,118593.09236015385,128373.09552043692
2016-07-17 03:00:00,120835.60332804691,121835.24910808398,117244.22559915965,127108.23665229208
2016-07-17 04:00:00,119135.20003942816,121291.2839443869,116747.9290202845,126648.04445841807
2016-07-17 05:00:00,117481.49953248526,120901.23641273225,116739.18723028297,126031.75386086991
2016-07-17 06:00:00,119147.60180678671,120579.58530699063,116553.20505159811,125264.43422392703
2016-07-17 07:00:00,122599.70686189976,121062.92821665193,117530.16316913151,125588.18430783655
2016-07-17 08:00:00,126354.11469739013,122768.97526132337,118749.70676794948,127188.33863895402
2016-07-17 09:00:00,130623.42531282225,125723.86258470593,120287.117430609,130031.91884650795
2016-07-17 10:00:00,133769.93870775902,129370.55789676275,123944.85056864051,133536.00313855888
2016-07-17 11:00:00,134782.754881762,131875.33107612876,126501.98079393092,136527.19705826012
2016-07-17 12:00:00,134842.67383439132,132800.41561589405,127831.7554097486,137446.5560963446
2016-07-17 13:00:00,134887.29556520568,132977.98284047097,127836.19992711658,137659.6466243633
2016-07-17 14:00:00,133883.8200737624,133245.30045981143,128803.95045973928,137909.73704348702
2016-07-17 15:00:00,132676.4473596174,132166.77184651492,127752.85515160931,137089.5280522679
2016-07-17 16:00:00,131982.87742232514,131034.25916835894,126292.80908151693,136553.2701966374
2016-07-17 17:00:00,131789.81026143872,131753.86073769644,126684.19281079643,140905.3318811914
2016-07-17 18:00:00,131993.44587650982,133386.07318013054,126889.84257796373,142921.31630204673
2016-07-17 19:00:00,132874.48426708864,135211.5928802976,128226.3308450647,143151.48222481835
2016-07-17 20:00:00,133462.5254327241,137235.6754999397,130526.76304113175,144442.17871957188
2016-07-17 21:00:00,135423.6693729636,137586.06633935033,132244.38344493243,142943.47015620055
2016-07-17 22:00:00,134374.51608735323,136011.03166267546,131986.527360108,140074.5691633875
2016-07-17 23:00:00,129570.56557543756,133049.37628827512,128229.22372555183,138086.5595062413
2016-07-18 00:00:00,125101.21783675978,128535.14623932578,124131.58522421989,133414.14197705814
2016-07-18 01:00:00,122570.8728708618,124876.16566594935,120382.47339710737,129570.39510147367
2016-07-18 02:00:00,122295.33067728393,123445.26267647954,118843.42768280602,127878.23051220425
2016-07-18 03:00:00,122740.79125556523,122960.12613987936,118336.07806396583,127054.50872124068
2016-07-18 04:00:00,122766.25460524324,123158.55163657677,118417.18083163549,127177.70168536798
2016-07-18 05:00:00,123303.82072585411,123686.84916560163,119068.23129226392,127724.4939834913
2016-07-18 06:00:00,131482.18961693268,125608.45756319037,121014.4870112998,130477.55802998689
2016-07-18 07:00:00,140926.7612780123,133225.30194464631,126013.52144713508,138491.52470578422
2016-07-18 08:00:00,146455.1357086249,142030.80812294438,133059.85774415315,147453.92869711085
2016-07-18 09:00:00,149633.61290830106,147090.30191105668,137455.01678832897,151514.35519315704
2016-07-18 10:00:00,150153.0928765699,149532.12749404562,141274.52907131362,154334.25651683053
2016-07-18 11:00:00,151683.97561295918,149679.33161511025,143005.24057284085,154594.2316051363
2016-07-18 12:00:00,152350.86111699516,150721.5198546562,144002.22499093754,156089.69278891638
2016-07-18 13:00:00,152792.04938820287,150885.0984907606,144088.47150561473,156182.41793453996
2016-07-18 14:00:00,150621.04042610573,151372.26054568394,144937.27258021574,156924.47454582903
2016-07-18 15:00:00,149965.23423022596,149752.19950680016,143648.35274304356,155294.00431539668
2016-07-18 16:00:00,148277.0308000842,148986.83444287567,143673.89385780704,154589.75067653388
2016-07-18 17:00:00,147247.93013519977,149283.1462831393,142987.538372544,158532.20232044408
2016-07-18 18:00:00,146060.53223509056,149935.92874751473,142315.077165558,160240.93652967268
2016-07-18 19:00:00,146737.13709927307,150169.1639280157,141869.58025877958,159081.2990210202
2016-07-18 20:00:00,147122.2447272624,151397.73066083953,143335.59926140637,158916.60766541405
2016-07-18 21:00:00,147632.95511857222,151276.19685194787,144074.34904998136,156569.61304582862
2016-07-18 22:00:00,143412.06827271485,148256.0087793927,142826.1302845237,151899.4490172122
2016-07-18 23:00:00,137834.7841892011,142284.80504680463,136669.21163762658,147508.7534574417
2016-07-19 00:00:00,132747.5028675405,136740.8477461835,130663.7859977023,141830.27699006753
2016-07-19 01:00:00,130305.7243072411,132094.9422257869,121740.12422365563,137302.13800446287
2016-07-19 02:00:00,128544.34850780957,130024.98471962835,120341.12400605659,135535.38777805358
2016-07-19 03:00:00,128396.87546875118,129108.11985393232,120340.01687230942,134222.97977242502
2016-07-19 04:00:00,127726.50518956975,129311.06253588432,120733.9736038931,134116.23676999807
2016-07-19 05:00:00,127822.83766976782,129524.85565431858,121465.52282239648,133961.60366963036
2016-07-19 06:00:00,135090.77290884638,130611.5148044884,123124.62416974716,135265.4645354267
2016-07-19 07:00:00,143453.8109063051,136634.50282935085,129299.08723017471,141609.99577125156
2016-07-19 08:00:00,148593.45166164223,144525.14770947478,137799.51827483854,149641.6669050403
2016-07-19 09:00:00,151084.59517435465,148736.31985661897,142653.90201349376,152889.83542908364
2016-07-19 10:00:00,151571.34144393777,150655.900462356,145690.69923218025,155151.83490723843
2016-07-19 11:00:00,153200.99046988564,150590.10236963158,145537.87278466506,155220.89848676062
2016-07-19 12:00:00,153609.54225169093,151626.82924707702,146824.33229492372,156579.05098483356
2016-07-19 13:00:00,154163.69678884486,151790.54967157746,146617.63309982346,156874.506674385
2016-07-19 14:00:00,152445.1540808373,152234.40217414388,147403.16850907478,157522.11459781518
2016-07-19 15:00:00,151835.5141271567,150647.01267110545,145963.66031176466,155891.19011424322
2016-07-19 16:00:00,150251.07692729007,149854.79996869687,144802.49014663562,155294.73630777496
2016-07-19 17:00:00,148526.54248072303,150115.24021259954,143939.582001328,159496.8846450608
2016-07-19 18:00:00,147249.41078693987,150696.69165858394,143225.41741826365,160325.87854446052
2016-07-19 19:00:00,147857.28184542345,150877.3912321424,142836.29895376286,159084.3892843696
2016-07-19 20:00:00,148103.35565565518,152137.73205142515,144586.4340670233,159352.50265814454
2016-07-19 21:00:00,148591.43221711513,152082.63613366205,146168.4858490756,157030.09976122333
2016-07-19 22:00:00,144492.5115292819,148970.90072543814,144208.63397886435,152376.23270674996
2016-07-19 23:00:00,138752.79359163274,143063.73201828968,137800.66758186862,148038.3263882519
2016-07-20 00:00:00,133473.47840364356,137452.8545523741,132059.26376767657,142430.5488100904
2016-07-20 01:00:00,130445.96596478877,132758.33596112052,125830.33011813492,137900.02228979114
2016-07-20 02:00:00,128758.85627454144,130553.57116521338,123715.0027197169,135790.2995459005
2016-07-20 03:00:00,128763.84933237318,129644.61274404614,122879.8383971964,134607.76695713564
2016-07-20 04:00:00,127451.24513775429,129822.28489738493,123333.88005929542,134295.5639363828
2016-07-20 05:00:00,127019.04369015362,130014.39698481033,123884.50769891459,134592.41067774352
2016-07-20 06:00:00,135085.74498903862,131058.75927914224,124280.29697424977,135689.1667434264
2016-07-20 07:00:00,143314.74903387536,137105.0101353895,131357.79350670974,142129.99514004466
2016-07-20 08:00:00,148963.95582412853,144998.56964371796,140065.497163517,150219.3975466354
2016-07-20 09:00:00,151542.96535926135,149192.63734634567,144221.88663603802,153615.4965187615
2016-07-20 10:00:00,151843.87763873575,151128.31575352425,146278.6107427459,155616.91116493684
2016-07-20 11:00:00,153550.49266201214,151071.7996129454,146426.19231723037,155677.27978948553
2016-07-20 12:00:00,153911.71042854968,152135.7699736682,147483.11036389007,156944.93858857497
2016-07-20 13:00:00,154335.730937806,152240.38436876697,147611.63463382534,157145.36223934035
