Date,Load_denoised,forecast,q1_forecast,q2_forecast
2016-06-05 23:00:00,59564.96466979891,58687.567843735655,54353.94510076374,63521.60218079194
2016-06-06 00:00:00,55469.57378422823,55042.81166255151,50596.42571666719,59786.636582727595
2016-06-06 01:00:00,53208.75326247248,53584.69741302408,48917.32298747312,58002.956148022604
2016-06-06 02:00:00,52727.20206808078,53122.61183595694,48440.77392220862,57223.2630772048
2016-06-06 03:00:00,52840.85895981054,53305.8296678126,48634.012115306556,57315.73618396459
2016-06-06 04:00:00,51592.11064087116,53841.87214540917,49163.578548914404,57840.46132355214
2016-06-06 05:00:00,53546.22712357996,55791.16822709281,51171.96708271565,60708.51238642131
2016-06-06 06:00:00,63309.69096818845,63385.305806467935,56190.790474053654,68598.30748365032
2016-06-06 07:00:00,73250.85698837032,72129.23867591175,63023.59523792527,77526.84624354943
2016-06-06 08:00:00,78361.03368144165,77197.53460160151,67598.7048124371,81733.823840454
2016-06-06 09:00:00,80529.00630302944,79560.68880578259,71059.45447530199,84404.58854379957
2016-06-06 10:00:00,80788.94787213953,79835.40202054904,73120.9475297041,84785.58606711938
2016-06-06 11:00:00,82011.12347226919,80774.20490020535,74083.03737813384,85915.69353595527
2016-06-06 12:00:00,82153.77877141419,80984.33565730651,74216.64911863423,86272.44140127352
2016-06-06 13:00:00,82204.97300971061,81296.65726994915,74844.42029891638,86754.17341741294
2016-06-06 14:00:00,80807.34771734782,79898.6045997176,73804.79550606516,85472.0166209353
2016-06-06 15:00:00,80005.06051105502,79093.01039751097,73591.3752362662,84756.21873914139
2016-06-06 16:00:00,78800.60949081597,79394.75192489068,73119.55371696879,88545.14343676684
2016-06-06 17:00:00,77413.48041897287,79990.00822153295,72336.11372128327,90325.23520822
2016-06-06 18:00:00,76544.85038307424,80327.7513837119,72029.81146671934,89254.31106220742
2016-06-06 19:00:00,77040.4582010748,81519.85767861013,73455.74809617209,88948.37976701478
2016-06-06 20:00:00,77296.27631525896,81372.77837925791,74012.22285327603,86659.33755491037
2016-06-06 21:00:00,77414.86821412695,78218.76085522429,72736.83381593667,81807.67384721898
2016-06-06 22:00:00,73676.98168705835,72409.98565641392,66838.53564046934,77665.97978804879
2016-06-06 23:00:00,67107.56252788253,66786.35715011488,60735.86584050506,71886.4639413836
2016-06-07 00:00:00,62499.399414299274,60785.19586233961,58020.89016077202,63549.50156390721
2016-06-07 01:00:00,59597.542063613255,57252.186229211096,54845.714305183144,59658.65815323905
2016-06-07 02:00:00,58130.236567251246,55504.0106660487,53024.46725254664,57983.55407955076
