Date,Load,forecast,q1_forecast,q2_forecast
2016-12-02 00:00:00,71076.09999999999,74287.15182409722,64708.41565136464,79613.53314626051
2016-12-02 01:00:00,70069.8,72072.18466065777,62769.73090688913,77629.11742522009
2016-12-02 02:00:00,69713.0,71055.58023268831,62130.8286951827,76555.25361153114
2016-12-02 03:00:00,69699.0,71157.23298335464,62078.77596166667,76605.78662181237
2016-12-02 04:00:00,70565.1,71331.99580026828,62246.26235115902,76296.0373878862
2016-12-02 05:00:00,71925.9,72288.13801548646,62468.80379300765,76809.00848878457
2016-12-02 06:00:00,80075.0,78052.89096106774,66914.73653489508,83182.35352873988
2016-12-02 07:00:00,88231.4,85602.45041351627,73465.80244223196,91386.7974210329
2016-12-02 08:00:00,91769.5,89802.19281600427,78068.78389727847,94580.80583852479
2016-12-02 09:00:00,94025.8,91814.29683392734,81681.39560218515,96608.21014244734
2016-12-02 10:00:00,93638.0,91882.81335490456,82898.87355377864,97018.90011622333
2016-12-02 11:00:00,94814.50000000001,92925.14282211188,83504.33570914318,98458.31870687305
2016-12-02 12:00:00,95361.5,93082.32656761544,83345.63507679472,98786.77057342457
2016-12-02 13:00:00,95921.69999999998,93462.67036792696,84397.45063353243,99089.94729820268
2016-12-02 14:00:00,94156.1,91827.13799955955,83560.08212444455,97209.33491358053
2016-12-02 15:00:00,94271.2,90963.82079458308,83270.66671476648,96636.47195684092
2016-12-02 16:00:00,98775.4,91068.32364062428,83528.857996482,100694.04315991851
2016-12-02 17:00:00,98248.1,91505.33398086666,82779.19504667539,101659.00336037698
2016-12-02 18:00:00,96795.6,91657.04059182838,81892.85822463175,99974.62834059585
2016-12-02 19:00:00,95349.4,92604.36380558438,82094.09463222526,99679.59185891354
2016-12-02 20:00:00,92595.5,92205.77150976643,82582.65173357767,97294.59040593973
2016-12-02 21:00:00,87386.0,89198.77481422991,82612.53889040745,92724.05988865989
2016-12-02 22:00:00,81258.6,83700.60393994239,77839.9188204191,89126.3457702928
2016-12-02 23:00:00,76371.0,78595.48955231727,72542.99750828279,83789.35551617069
2016-12-03 00:00:00,71867.0,73658.24965559485,64460.22616757313,78892.72835748302
2016-12-03 01:00:00,68596.70000000001,70734.89939745681,62285.647863436374,76379.04751430968
2016-12-03 02:00:00,66698.2,69174.37384913096,61131.208465467054,74843.37662729455
2016-12-03 03:00:00,66113.4,68805.29305342656,60487.917347087,74229.70869316769
2016-12-03 04:00:00,66798.3,68392.13013685464,60355.21875358718,73178.5934764074
2016-12-03 05:00:00,68093.2,67960.80866645619,59996.180515473156,72810.7816235414
2016-12-03 06:00:00,71525.4,69754.87511676227,61883.9216048749,74578.30444807702
2016-12-03 07:00:00,75206.70000000001,73826.69953058734,66046.1483074122,78481.32955856127
2016-12-03 08:00:00,79576.5,78492.40833841222,70365.36078018842,83273.91439894625
2016-12-03 09:00:00,83907.2,82298.11189142385,74011.90790924514,87039.74760333876
2016-12-03 10:00:00,85837.7,83905.35490204394,75709.0493236897,88773.71060310862
2016-12-03 11:00:00,86438.4,84752.97173027256,76456.93470616695,89582.46788713036
2016-12-03 12:00:00,85243.6,84285.9121546132,76169.43425860074,89071.30507942391
2016-12-03 13:00:00,84959.8,84073.64005048701,77087.39436276727,89095.62476018727
2016-12-03 14:00:00,82129.90000000001,82013.42876468197,75979.80930877013,87054.16843652911
2016-12-03 15:00:00,82570.0,80758.75671006668,75104.21558610623,86476.07905586206
2016-12-03 16:00:00,87639.3,81146.30318056821,74898.06676598336,91217.1890487245
2016-12-03 17:00:00,87922.5,81833.54658905772,74672.60450021407,92203.7681323175
2016-12-03 18:00:00,86203.7,82689.39882858375,74917.37520828034,91177.7269871384
2016-12-03 19:00:00,84621.2,83518.81518426671,76216.06814912445,90861.0727714518
2016-12-03 20:00:00,82488.59999999999,83258.80094122823,78140.65627529068,88418.56167536214
2016-12-03 21:00:00,78179.8,80861.8997105824,76312.18378088702,84998.11991584089
2016-12-03 22:00:00,73711.0,77029.55246027277,72148.17754477242,82038.63771276733
2016-12-03 23:00:00,69443.7,72301.30720670232,67403.78476201766,77391.38329818503
2016-12-04 00:00:00,65381.1,67799.43725973433,62941.15729426172,72855.78286111786
2016-12-04 01:00:00,63012.399999999994,64952.45913671259,60346.43194756478,70108.00060887974
2016-12-04 02:00:00,61277.2,63538.99474620096,58901.94432085236,68799.65256369837
2016-12-04 03:00:00,60657.299999999996,62995.83443407579,58391.45715020035,68365.86414392978
2016-12-04 04:00:00,61318.8,62614.69819701808,58422.2810442046,67747.9671150899
2016-12-04 05:00:00,62912.1,62296.99132197918,58243.51035827759,66981.6837519388
2016-12-04 06:00:00,63983.899999999994,62800.71909518338,59453.14423113965,67290.59837990846
2016-12-04 07:00:00,64324.3,64517.953009752986,60513.62469215736,68900.81381915594
2016-12-04 08:00:00,67034.4,67500.96593812169,62288.91993966236,71688.38162321223
2016-12-04 09:00:00,71574.5,71161.4459251384,65791.99524374341,75270.36832588054
2016-12-04 10:00:00,74524.8,73675.14584323938,68535.64071112701,78273.46006384376
2016-12-04 11:00:00,75338.9,74600.42844991971,69748.00922453108,79137.36569340645
2016-12-04 12:00:00,75682.1,74775.8569624458,70041.53870269607,79396.28646238947
2016-12-04 13:00:00,76623.90000000001,75043.0249429129,70639.76765187272,79645.1335005742
2016-12-04 14:00:00,75518.7,73951.57330973947,69509.00919631022,78653.04657722429
2016-12-04 15:00:00,75880.2,72823.81907329909,68251.06429845808,78314.11297008679
2016-12-04 16:00:00,80454.4,73531.76430143797,68560.91720357958,82644.84524923642
2016-12-04 17:00:00,81507.8,75133.5347401645,68763.78688671686,84556.69154202257
2016-12-04 18:00:00,81566.79999999999,76953.2053308906,70111.28906319066,84992.77783180441
2016-12-04 19:00:00,81864.79999999999,78979.87745181113,72388.61282831829,86238.49761050314
2016-12-04 20:00:00,80458.1,79327.82972250145,74097.21226993648,84707.76601082576
2016-12-04 21:00:00,77092.9,77723.66604989454,73699.20352434913,81653.13841162734
2016-12-04 22:00:00,73857.9,74733.33608805109,69650.66977977447,79871.02822777079
2016-12-04 23:00:00,69574.2,70229.01385884917,65506.73569291526,75139.14553954497
2016-12-05 00:00:00,65206.100000000006,66585.54876042722,62109.20091281358,71218.6494369134
2016-12-05 01:00:00,63034.6,65158.53412898685,60629.954570276066,69628.10216793693
2016-12-05 02:00:00,62401.3,64679.884554793636,60146.176916413344,68826.61216102581
2016-12-05 03:00:00,63006.399999999994,64883.43299884137,60323.5449414548,68880.95947665829
2016-12-05 04:00:00,64759.600000000006,65426.07856911856,60924.32763627665,69553.4004750195
2016-12-05 05:00:00,68697.1,67363.8419771784,63078.22256251819,72270.56893386986
2016-12-05 06:00:00,79733.5,75024.14193012108,67862.78513916032,80198.17325605746
2016-12-05 07:00:00,89347.0,83830.71183437991,75183.23267146091,89095.93991051178
2016-12-05 08:00:00,93448.8,88902.37752400641,79627.43713353318,93300.64443811367
2016-12-05 09:00:00,95342.40000000001,91345.8249666837,82994.3070209539,96161.50940453784
2016-12-05 10:00:00,94709.0,91490.43478488455,84793.69137316983,96371.63708813184
2016-12-05 11:00:00,95349.0,92541.16577480247,85607.28803289685,97704.28981729745
2016-12-05 12:00:00,94785.1,92714.3691602492,85797.7998235541,98094.36312165941
2016-12-05 13:00:00,95516.5,93200.80128753216,86538.62369587914,98700.44104017387
2016-12-05 14:00:00,93589.5,91570.24567445226,85170.01327832756,97049.79572484037
2016-12-05 15:00:00,94269.5,90813.99675195206,84364.43948691082,96316.86142193335
2016-12-05 16:00:00,99324.70000000001,91091.05696879276,84753.42771910506,100319.8216025998
2016-12-05 17:00:00,99569.1,91716.04280491725,84287.09706547979,101959.71066193136
2016-12-05 18:00:00,97635.29999999999,91941.80637501364,83816.593023152,100791.28564210594
2016-12-05 19:00:00,97129.1,93187.73565123235,85191.80245481058,100553.52842767882
2016-12-05 20:00:00,94704.19999999998,93055.8655990435,85373.05780988066,98203.23185683995
2016-12-05 21:00:00,89279.40000000001,89991.41069394091,84176.44661061515,93674.08430995325
2016-12-05 22:00:00,81793.79999999999,83981.82126888062,77942.66116754898,89230.93693936925
