Date,Load,forecast,q1_forecast,q2_forecast
2016-07-05 01:00:00,130400.47453011607,131443.23329536017,121056.70965039733,136680.16385963128
2016-07-05 02:00:00,128420.55218898656,129375.02006691849,119698.97152387898,134905.9822909376
2016-07-05 03:00:00,128652.5326945836,128457.28370673851,119695.33308159903,133583.03583145374
2016-07-05 04:00:00,127648.51604688946,128658.9543990366,120081.15400585104,133476.43532706166
2016-07-05 05:00:00,127873.6022458851,128877.21670590657,120816.32141226437,133314.3607561536
2016-07-05 06:00:00,135428.29129154992,129966.5634843701,122439.40958792492,134619.47023323234
2016-07-05 07:00:00,144283.88318386197,135981.8336743955,128636.50657581647,140986.16020911915
2016-07-05 08:00:00,149214.27792279783,143866.03372746878,137112.98266498302,148997.47945604532
2016-07-05 09:00:00,151106.57550833272,148070.16940382897,141970.97714126023,152246.560276511
2016-07-05 10:00:00,151835.47594044034,149986.63125633905,145030.36128975014,154496.89027269758
2016-07-05 11:00:00,153773.379219093,149916.0049991493,144876.68761716396,154503.0473892162
2016-07-05 12:00:00,153968.68534426158,150947.22726806614,146145.03426259186,155869.92238148293
2016-07-05 13:00:00,154726.09431591548,151108.30174958456,145948.00361427525,156160.35926724112
2016-07-05 14:00:00,152858.70613402274,151549.5300564638,146726.81830475,156792.62703877315
2016-07-05 15:00:00,152061.02079854993,149961.7661056078,145276.32864952204,155171.9246528293
2016-07-05 16:00:00,150605.0383094622,149167.78362958579,144125.11476380375,154627.29667156312
2016-07-05 17:00:00,149215.85866672324,149434.06073884433,143264.44910020547,158829.7713823051
2016-07-05 18:00:00,147998.78187029535,150023.4382166383,142550.9700917142,159662.68300024248
2016-07-05 19:00:00,148137.40792013938,150209.19693838552,142155.1609952696,158414.4571187179
2016-07-05 20:00:00,148196.53681621468,151472.63966890183,143909.70983622904,158694.35761793994
2016-07-05 21:00:00,147997.86855847933,151414.8859932769,145485.16957222423,156353.4712095761
2016-07-05 22:00:00,143907.0031468898,148285.6296901457,143522.19804101862,151697.99052473012
2016-07-05 23:00:00,138447.9405814013,142369.4228330714,137114.48606543196,147361.37111129743
2016-07-06 00:00:00,133160.08086196738,136756.7598919276,131369.6679654445,141753.98629681248
2016-07-06 01:00:00,131354.62398854044,132062.2307999148,125138.19983645012,137217.06783831405
2016-07-06 02:00:00,132000.4699610712,129854.25662250348,123015.05733736562,135105.66599514603
2016-07-06 03:00:00,132984.81877950908,128941.5518765443,122143.94763252689,133920.91108866833
2016-07-06 04:00:00,131154.67044380202,129116.45417652324,122559.62081602334,133617.42659256395
2016-07-06 05:00:00,131256.9249538966,129314.62430206095,123113.41844187392,133906.40265245718
2016-07-06 06:00:00,135595.38230973785,130360.94826213307,123582.62005105852,135003.25674875354
2016-07-06 07:00:00,142800.54251126948,136408.47835011603,130649.73938119339,141451.02689012798
2016-07-06 08:00:00,147051.7055584337,144302.1150245211,139299.6715465983,149530.50894539562
2016-07-06 09:00:00,149317.3714511713,148490.76608330614,143501.24202435082,152918.17628529947
2016-07-06 10:00:00,149773.8401894216,150421.91707671975,145575.3942923561,154916.56406888043
2016-07-06 11:00:00,151402.8117731226,150361.02442656737,145721.7476535478,154975.92115946134
2016-07-06 12:00:00,151787.48620221077,151420.58331611933,146771.78805250363,156244.81098192526
2016-07-06 13:00:00,151541.4634766212,151521.77470845982,146888.13850061817,156439.6233297857
2016-07-06 14:00:00,149541.74359628744,151939.7607593306,147007.37844286734,157191.037180576
2016-07-06 15:00:00,148638.12656114178,150328.00087217698,145324.03711431712,155377.43384417603
2016-07-06 16:00:00,146988.91237111497,149519.17509264333,144038.38864861205,154982.57291042682
2016-07-06 17:00:00,146261.1010261363,149716.99075994903,143647.96072007657,159017.8808391848
2016-07-06 18:00:00,144898.19252613373,150208.81668120064,143101.22412358318,160348.18662161674
2016-07-06 19:00:00,145551.18687103371,150357.69230570368,142578.6902429517,159040.60556492096
2016-07-06 20:00:00,146035.18406076127,151658.4935506506,143770.06339536305,159095.27301177633
2016-07-06 21:00:00,145444.88409524,151592.21514057054,145533.67458095678,156711.0967981619
2016-07-06 22:00:00,141918.8869743921,148560.81946054034,144163.44019082806,152108.7352908511
2016-07-06 23:00:00,136705.09269813835,142483.31316168883,137163.63647042983,147686.84451993403
2016-07-07 00:00:00,131595.60126639798,136994.87743642653,131059.05920080353,142127.35030339786
2016-07-07 01:00:00,129231.71267908892,132426.0198210027,126245.70430772296,137763.30174019252
2016-07-07 02:00:00,129406.02693612756,130247.6154662001,123857.9777075572,135523.1342845729
2016-07-07 03:00:00,129795.04403742898,129258.44424655702,122975.98192009734,134320.9745817852
2016-07-07 04:00:00,128881.76398290669,129373.2449325244,122969.58391991296,134337.9039616919
2016-07-07 05:00:00,129380.2867724729,129538.0955380493,123547.22484713528,133936.72681204465
2016-07-07 06:00:00,134403.31240603825,130543.3728950426,124940.97470829717,134930.24667953327
2016-07-07 07:00:00,142159.0408835121,136403.95785432507,131934.83934902272,141055.2833227025
2016-07-07 08:00:00,147022.97220480224,144229.19840619437,139630.12610617798,148881.23837903354
2016-07-07 09:00:00,149206.60636981513,148433.43710359297,144517.34928269323,152808.0742713739
2016-07-07 10:00:00,149408.0433784557,150368.00396990977,146461.0880623551,154747.30300615268
2016-07-07 11:00:00,151495.58323062753,150343.48056517373,146146.2358700435,154963.83147414582
2016-07-07 12:00:00,151787.42592623274,151411.74466690508,146717.41437755674,156375.58509564894
2016-07-07 13:00:00,151462.971465172,151542.11684221926,146827.9416361914,156682.06156904533
